Number,Name,Position,Date of Birth,Age,Nationality,Birth Country,Place of Birth,Height,Market Value,Other Positions,Nationality 1,Nationality 2,Position 2,Position 3
,Henrique Alemão,Centre-Back,"Mar 16, 1993 ",30,Brazil,Brazil,Santo Andre,"1,91",-,,Brazil,,,
,Mauricio,Centre-Back,"Sep 9, 1993 ",30,Brazil,Brazil,Saquarema,"1,97",-,,Brazil,,,
,Daniel Pereira,Centre-Back,"Aug 28, 1993 ",30,Brazil,Brazil,Sao Paulo,"1,85",-,,Brazil,,,
,Allef Nunes,Centre-Back,"Dec 9, 1993 ",30,Brazil,Brazil,Alcinopolis,"1,86",-,,Brazil,,,
,Fernando,Centre-Back,"Feb 25, 1993 ",31,Brazil,Brazil,Conselheiro Lafaiete,"1,85",-,DM,Brazil,,DM,
,Filipe Alves,Centre-Back,"Dec 24, 1993 ",30,Brazil,Brazil,Rio de Janeiro,"1,94",-,,Brazil,,,
,Juliano Silva,Centre-Back,"Jun 9, 1993 ",30,Brazil,Brazil,Goiania,"1,90",-,LB,Brazil,,LB,
4.0,Wanderson,Centre-Back,"Jan 19, 1993 ",31,Brazil,Brazil,Rio de Janeiro,"1,87",-,DM,Brazil,,DM,
,Rodrigo Lobão,Centre-Back,"Jul 17, 1993 ",30,Brazil,Brazil,Salvador,"1,90",-,,Brazil,,,
5.0,Giordano Piffero,Centre-Back,"Aug 5, 1993 ",30,"Brazil, Italy",Brazil,Porto Alegre,"1,85",-,DM,Brazil, Italy,DM,
,Leonardo Sosa,Centre-Back,"Mar 24, 1993 ",30,"Brazil, Uruguay",Brazil,Sao Paulo,"1,85",-,RB   DM,Brazil, Uruguay,RB,DM
,Renan Diniz,Centre-Back,"Feb 27, 1993 ",31,Brazil,Brazil,Sao Paulo,"1,87",-,LB   DM,Brazil,,LB,DM
,Geninho,Centre-Back,"Jul 17, 1993 ",30,Brazil,Brazil,,"1,86",-,,Brazil,,,
,Uirá Marques,Centre-Back,"Jul 22, 1993 ",30,Brazil,Brazil,Camacari,"1,92",-,,Brazil,,,
3.0,Alisson,Centre-Back,"Aug 21, 1993 ",30,Brazil,Brazil,Campina Grande,"1,86",-,,Brazil,,,
,Márcio,Centre-Back,"Jan 14, 1993 ",31,Brazil,Brazil,Porto Feliz,"1,87",-,,Brazil,,,
64.0,Guilherme Quichini,Centre-Back,"Dec 15, 1993 ",30,Brazil,Brazil,Sao Paulo,"1,94",-,,Brazil,,,
,Ivan Magalhães,Centre-Back,"Dec 23, 1993 ",30,Brazil,Brazil,Sao Paulo,"1,86",-,LB   DM,Brazil,,LB,DM
,Fernando Fonseca,Centre-Back,"Dec 29, 1993 ",30,Brazil,Brazil,Roncador,"1,90",-,,Brazil,,,
,Rafael Santaiana,Centre-Back,"Jan 15, 1993 ",31,Brazil,Brazil,Santa Maria,"1,86",-,,Brazil,,,
,Vítor Carvalho,Centre-Back,"Feb 17, 1993 ",31,Brazil,Brazil,Sao Jose do Rio Preto,"1,92",-,,Brazil,,,
,Renato Camilo,Centre-Back,"Sep 23, 1993 ",30,Brazil,Brazil,Recife,"1,86",-,,Brazil,,,
,Felipe Bortolucci,Centre-Back,"Aug 21, 1993 ",30,"Brazil, Italy",Brazil,Aracatuba,"1,94",-,,Brazil, Italy,,
,William Mineiro,Centre-Back,"Feb 3, 1993 ",31,Brazil,Brazil,Teofilo Otoni,"1,91",-,DM,Brazil,,DM,
,Alex Maranhão,Centre-Back,"Oct 6, 1993 ",30,Brazil,Brazil,Sao Luis,"1,85",-,DM,Brazil,,DM,
,Guilherme Almeida,Centre-Back,"Jan 29, 1993 ",31,Brazil,Brazil,Osasco,"1,85",-,,Brazil,,,
,Rodrigo Aguiar,Centre-Back,"May 19, 1993 ",30,Brazil,Brazil,Belo Horizonte,,-,LB,Brazil,,LB,
,Fernando,Centre-Back,"Mar 19, 1993 ",30,Brazil,Brazil,Rio de Janeiro,"1,84",-,,Brazil,,,
,André Luís,Centre-Back,"Jan 19, 1993 ",31,Brazil,Brazil,,,-,,Brazil,,,
,Matheus Salustiano,Centre-Back,"Apr 19, 1993 ",30,Brazil,Brazil,Pindamonhagaba,"1,87",-,,Brazil,,,
,Gustavo Tabalipa,Centre-Back,"Jan 28, 1993 ",31,Brazil,Brazil,Rolim de Moura,"1,85",-,,Brazil,,,
,Thiago Costa,Centre-Back,"Oct 5, 1993 ",30,Brazil,Brazil,Belem,"1,85",-,,Brazil,,,
,Américo,Centre-Back,"Mar 19, 1993 ",30,Brazil,Brazil,Gravatal,"1,88",-,,Brazil,,,
,Anderson Santos,Centre-Back,"Jan 6, 1993 ",31,Brazil,Brazil,Sao Matheus,"1,90",-,,Brazil,,,
,Fransuar,Centre-Back,"Mar 10, 1993 ",31,Brazil,Brazil,,"1,86",-,,Brazil,,,
,Anderson,Centre-Back,"Mar 21, 1993 ",30,Brazil,Brazil,Rio Brilhante,"1,94",-,,Brazil,,,
,Igor,Centre-Back,"Jan 7, 1993 ",31,Brazil,Brazil,Maceio,"1,84",-,DM,Brazil,,DM,
,Rodrigo Souza,Centre-Back,"Mar 23, 1993 ",30,Brazil,Brazil,Sao Paulo,"1,94",-,,Brazil,,,
,Jefferson,Centre-Back,"Apr 14, 1993 ",30,Brazil,Brazil,Goiania,"1,90",-,DM,Brazil,,DM,
,Diego Silva,Centre-Back,"Mar 26, 1993 ",30,Brazil,Brazil,Recife,"1,87",-,,Brazil,,,
,Eberson,Centre-Back,"Jul 6, 1993 ",30,Brazil,Brazil,,"1,81",-,,Brazil,,,
,Márcio Cordeiro,Centre-Back,"Jan 7, 1993 ",31,Brazil,Brazil,Iguape,"1,89",-,,Brazil,,,
,Alan Fialho,Centre-Back,"Feb 1, 1993 ",31,"Brazil, Poland",Brazil,Rio de Janeiro,"1,83",-,RB   DM,Brazil, Poland,RB,DM
,Diego,Centre-Back,"Mar 15, 1993 ",30,Brazil,Brazil,Barra Bonita,"1,84",-,,Brazil,,,
,Luiz Matheus,Centre-Back,"Jan 10, 1993 ",31,Brazil,Brazil,Praia Grande,"1,86",-,,Brazil,,,
,Wellington Carvalho,Centre-Back,"Feb 15, 1993 ",31,Brazil,Brazil,Duque de Caxias,"1,85",-,RB   LB,Brazil,,RB,LB
,Eduardo,Centre-Back,"Nov 10, 1993 ",30,Brazil,Brazil,,"1,96",-,,Brazil,,,
,Murilo,Centre-Back,"Mar 19, 1993 ",30,Brazil,Brazil,Goianesia,"1,85",-,,Brazil,,,
,Itainã,Centre-Back,"Feb 21, 1993 ",31,Brazil,Brazil,Petrolina,"1,83",-,,Brazil,,,
,Nick,Centre-Back,"Mar 4, 1993 ",31,Brazil,Brazil,Sao Paulo,"1,87",-,LB,Brazil,,LB,
,Thiago,Centre-Back,"Mar 1, 1993 ",31,Brazil,Brazil,Natal,"1,80",-,,Brazil,,,
,Luiz Eduardo,Centre-Back,"Apr 28, 1993 ",30,Brazil,Brazil,Guaira,"1,84",-,LB   RB,Brazil,,LB,RB
,Walace,Centre-Back,"May 25, 1993 ",30,Brazil,Brazil,Sao Paulo,"1,91",-,,Brazil,,,
5.0,Marquinhos,Centre-Back,"May 14, 1994 ",29,"Brazil, Portugal",Brazil,Sao Paulo,"1,83",€60.00m,DM   RB,Brazil, Portugal,DM,RB
21.0,Matheus Dória,Centre-Back,"Nov 8, 1994 ",29,"Brazil, Mexico",Brazil,Sao Goncalo,"1,88",€3.00m,LB,Brazil, Mexico,LB,
94.0,Wallace,Centre-Back,"Oct 14, 1994 ",29,Brazil,Brazil,Rio de Janeiro,"1,91",€1.50m,,Brazil,,,
36.0,Lucas Possignolo,Centre-Back,"May 11, 1994 ",29,"Brazil, Portugal",Brazil,Piracicaba,"1,88",€1.00m,RB,Brazil, Portugal,RB,
15.0,Rubén Alves,Centre-Back,"Sep 7, 1994 ",29,"Spain, Brazil",Brazil,Rio de Janeiro,"1,84",€800k,LB,Spain, Brazil,LB,
4.0,Ruan Renato,Centre-Back,"Jan 14, 1994 ",30,Brazil,Brazil,Paulinia,"1,88",€700k,,Brazil,,,
26.0,Maracás,Centre-Back,"Apr 27, 1994 ",29,Brazil,Brazil,Itirucu,"1,84",€600k,,Brazil,,,
2.0,Paulo Ricardo,Centre-Back,"Jul 13, 1994 ",29,"Brazil, Italy",Brazil,Laguna,"1,86",€500k,DM   RB,Brazil, Italy,DM,RB
4.0,Nailson,Centre-Back,"Feb 24, 1994 ",30,Brazil,Brazil,Arapongas,"1,91",€350k,LB,Brazil,,LB,
6.0,Robson,Centre-Back,"Feb 14, 1994 ",30,Brazil,Brazil,Espirito Santo,"1,85",€300k,,Brazil,,,
2.0,Carlos Chabá,Centre-Back,"Nov 17, 1994 ",29,Brazil,Brazil,Santo Estevao,"1,85",€250k,,Brazil,,,
34.0,Guilherme Garutti,Centre-Back,"Mar 8, 1994 ",30,"Brazil, Italy",Brazil,,"1,94",€250k,,Brazil, Italy,,
,Danilo Quipapá,Centre-Back,"Feb 21, 1994 ",30,Brazil,Brazil,,"1,91",€200k,DM,Brazil,,DM,
3.0,Samir Caetano,Centre-Back,"Dec 5, 1994 ",29,Brazil,Brazil,Sao Goncalo,"1,85",€4.00m,LB,Brazil,,LB,
14.0,Luan Peres,Centre-Back,"Jul 19, 1994 ",29,Brazil,Brazil,Sao Caetano do Sul,"1,90",€2.50m,LB,Brazil,,LB,
4.0,Jesiel,Centre-Back,"Mar 5, 1994 ",30,Brazil,Brazil,Candido Mota,"1,86",€1.00m,,Brazil,,,
13.0,Messias,Centre-Back,"Nov 3, 1994 ",29,Brazil,Brazil,Sao Matheus,"1,91",€800k,,Brazil,,,
,Alan Empereur,Centre-Back,"Mar 10, 1994 ",30,"Brazil, Italy",Brazil,Ipatinga,"1,86",€750k,LB,Brazil, Italy,LB,
4.0,William Klaus,Centre-Back,"Jan 11, 1994 ",30,Brazil,Brazil,Dois Irmaos,"1,87",€700k,,Brazil,,,
94.0,Philipe Sampaio,Centre-Back,"Nov 11, 1994 ",29,Brazil,Brazil,Sao Paulo,"1,91",€600k,,Brazil,,,
33.0,Gabriel Cividini,Centre-Back,"Nov 4, 1994 ",29,Brazil,Brazil,,"1,88",€450k,,Brazil,,,
41.0,Cássio Scheid,Centre-Back,"Jan 3, 1994 ",30,Brazil,Brazil,Arroio do Meio,"1,86",€300k,,Brazil,,,
19.0,Hallysson Padilha,Centre-Back,"Feb 11, 1994 ",30,"Brazil, Bolivia",Brazil,Curitiba,"1,90",€275k,LB,Brazil, Bolivia,LB,
4.0,André Fausto,Centre-Back,"May 2, 1994 ",29,Brazil,Brazil,Porto Alegre,"1,80",€250k,LB,Brazil,,LB,
4.0,Leandro Pinto,Centre-Back,"Jan 24, 1994 ",30,Brazil,Brazil,Sao Paulo,"1,84",€250k,DM   RB,Brazil,,DM,RB
43.0,Danrlei,Centre-Back,"Aug 1, 1994 ",29,Brazil,Brazil,Sao Luiz Gonzaga,"1,86",€200k,,Brazil,,,
94.0,Léo Santos,Centre-Back,"Jun 3, 1994 ",29,Brazil,Brazil,Itu,"1,97",€175k,,Brazil,,,
33.0,Bianor,Centre-Back,"Jun 28, 1994 ",29,Brazil,Brazil,Manaus,"1,87",€150k,DM,Brazil,,DM,
,Yago Ramon,Centre-Back,"Mar 22, 1994 ",29,Brazil,Brazil,,"1,88",€50k,DM,Brazil,,DM,
22.0,Caique Machado,Centre-Back,"Apr 5, 1994 ",29,Brazil,Brazil,,,-,DM,Brazil,,DM,
,Caio Martins,Centre-Back,"Mar 30, 1994 ",29,"Portugal, Brazil",Brazil,Niteroi,"1,81",-,,Portugal, Brazil,,
,Diego Baiano,Centre-Back,"Jun 8, 1994 ",29,Brazil,Brazil,Igrapiuna,"1,91",-,,Brazil,,,
2.0,Daniel Rodrigues,Centre-Back,"Aug 10, 1994 ",29,Brazil,Brazil,Sao Paulo,"1,83",-,,Brazil,,,
,Didi,Centre-Back,"Jul 27, 1994 ",29,Brazil,Brazil,,"1,88",-,RB,Brazil,,RB,
,Diego Clemente,Centre-Back,"Jan 12, 1994 ",30,Brazil,Brazil,,"1,90",-,,Brazil,,,
,Gilmar,Centre-Back,"Jun 16, 1994 ",29,Brazil,Brazil,Pitimbu,"1,85",-,DM,Brazil,,DM,
,Caíque Baiano,Centre-Back,"Mar 10, 1994 ",30,Brazil,Brazil,,"1,87",-,,Brazil,,,
,Wilker Santos,Centre-Back,"Jul 26, 1994 ",29,Brazil,Brazil,Rio de Janeiro,"1,86",-,CM   DM,Brazil,,CM,DM
,Flávio Ramos,Centre-Back,"May 12, 1994 ",29,Brazil,Brazil,Santa Maria da Boa Vista,"1,91",€200k,,Brazil,,,
12.0,Alisson Cassiano,Centre-Back,"May 28, 1994 ",29,Brazil,Brazil,Sao Paulo,"1,87",€150k,,Brazil,,,
14.0,Matheus Mancini,Centre-Back,"Sep 14, 1994 ",29,"Brazil, Italy",Brazil,Ribeirao Preto,"1,90",€100k,,Brazil, Italy,,
,Luiz Gustavo,Centre-Back,"Feb 12, 1994 ",30,Brazil,Brazil,Votuporanga,"1,82",€50k,RB   DM,Brazil,,RB,DM
,Jonathan Piqué,Centre-Back,"Feb 22, 1994 ",30,Brazil,Brazil,Curitiba Curitiba (P,"1,84",-,,Brazil,,,
,Wagner Gontijo,Centre-Back,"Jan 13, 1994 ",30,Brazil,Brazil,Divinopolis,,-,DM,Brazil,,DM,
,Wallace,Centre-Back,"Feb 17, 1994 ",30,Brazil,Brazil,Petropolis,"1,84",-,,Brazil,,,
,Alex,Centre-Back,"Apr 16, 1994 ",29,Brazil,Brazil,Morro Reuter,"1,86",-,,Brazil,,,
,Júlio,Centre-Back,"Oct 17, 1994 ",29,Brazil,Brazil,Joao Pessoa,"1,83",-,RB,Brazil,,RB,
,Emersonn Bastos,Centre-Back,"Aug 29, 1994 ",29,Brazil,Brazil,,,-,,Brazil,,,
,Carlos Alberto,Centre-Back,"Jan 15, 1994 ",30,Brazil,Brazil,Mage,"1,89",-,,Brazil,,,
,Nanin Cearense,Centre-Back,"Aug 3, 1994 ",29,Brazil,Brazil,,"1,86",-,DM,Brazil,,DM,
,Lucão,Centre-Back,"Jul 13, 1994 ",29,Brazil,Brazil,Campinas,"1,85",-,DM,Brazil,,DM,
,Zé Romário,Centre-Back,"May 12, 1994 ",29,Brazil,Brazil,,"1,88",-,,Brazil,,,
,Anderson Calado,Centre-Back,"Jul 15, 1994 ",29,Brazil,Brazil,,"1,90",-,,Brazil,,,
,Dedé,Centre-Back,"Jul 10, 1994 ",29,Brazil,Brazil,Sao Luis,"1,89",-,,Brazil,,,
,Carlão,Centre-Back,"May 4, 1994 ",29,Brazil,Brazil,,,-,,Brazil,,,
,Matheus Batista,Centre-Back,"Oct 4, 1994 ",29,Brazil,Brazil,Rio de Janeiro,"1,87",-,DM,Brazil,,DM,
19.0,Valdeci,Centre-Back,"Oct 7, 1994 ",29,Brazil,Brazil,Rio de Janeiro,"1,88",-,,Brazil,,,
,Carlos Alexandre,Centre-Back,"May 17, 1994 ",29,Brazil,Brazil,Aracaju,"1,88",-,,Brazil,,,
,Márcio,Centre-Back,"May 6, 1994 ",29,Brazil,Brazil,,,-,,Brazil,,,
,Gustavo Japa,Centre-Back,"May 15, 1994 ",29,Brazil,Brazil,,,-,,Brazil,,,
,Guilherme Paraíba,Centre-Back,"May 24, 1994 ",29,Brazil,Brazil,,"1,93",-,,Brazil,,,
,Allan Peixoto,Centre-Back,"Jan 22, 1994 ",30,Brazil,Brazil,,"1,87",-,LB,Brazil,,LB,
,Railon,Centre-Back,"Aug 2, 1994 ",29,Brazil,Brazil,Jequie,"1,88",-,,Brazil,,,
,Fábio Nunes,Centre-Back,"Jan 3, 1994 ",30,Brazil,Brazil,Sao Paulo,"1,93",-,,Brazil,,,
,Heltton,Centre-Back,"Mar 24, 1994 ",29,Brazil,Brazil,,"1,90",-,LB,Brazil,,LB,
,Lucas Oliveira,Centre-Back,"Jan 25, 1994 ",30,Brazil,Brazil,Brasilia,"1,85",-,,Brazil,,,
,Willian,Centre-Back,"Mar 12, 1994 ",30,Brazil,Brazil,,,-,,Brazil,,,
,Bremer,Centre-Back,"Jun 6, 1994 ",29,Brazil,Brazil,,"1,90",-,,Brazil,,,
,Yan Mafra,Centre-Back,"Aug 5, 1994 ",29,Brazil,Brazil,Belem,"1,88",-,,Brazil,,,
4.0,Cassiano,Centre-Back,"Jun 26, 1994 ",29,Brazil,Brazil,Maragogipe,"1,90",-,,Brazil,,,
,Darlan Santos,Centre-Back,"May 24, 1994 ",29,Brazil,Brazil,Dois Vizinhos,"1,89",-,,Brazil,,,
,Léo Breno,Centre-Back,"May 16, 1994 ",29,Brazil,Brazil,,,-,,Brazil,,,
,Rhamon Mexicano,Centre-Back,"Sep 27, 1994 ",29,Brazil,Brazil,Vitoria,"1,87",-,,Brazil,,,
,Mateus Lima,Centre-Back,"Aug 5, 1994 ",29,Brazil,Brazil,Uba,"1,87",-,LB   DM,Brazil,,LB,DM
,Wellington Franca Oliveira,Centre-Back,N/A ,29,,Brazil,Guarulhos,,-,DM,,,DM,
,Elielton,Centre-Back,"Aug 11, 1994 ",29,Brazil,Brazil,,"1,85",-,DM,Brazil,,DM,
,André Penalva,Centre-Back,"Dec 1, 1994 ",29,Brazil,Brazil,Penalva,"1,86",-,,Brazil,,,
,Victor Sousa,Centre-Back,"Jul 5, 1994 ",29,Brazil,Brazil,Brasilia,"1,83",-,LB,Brazil,,LB,
,Pedro Gusso,Centre-Back,"Jan 8, 1994 ",30,"Brazil, Italy",Brazil,Londrina,"1,89",-,LB   DM,Brazil, Italy,LB,DM
,Mauricio,Centre-Back,"Dec 8, 1994 ",29,Brazil,Brazil,Rio de Janeiro,"1,98",-,,Brazil,,,
,Yuri Mamute,Centre-Back,"Aug 24, 1994 ",29,Brazil,Brazil,Balsas,"1,87",-,,Brazil,,,
,Lira,Centre-Back,"Jan 28, 1994 ",30,Brazil,Brazil,Guaruja,"1,85",-,DM   LB,Brazil,,DM,LB
,Gabriel Domiciano,Centre-Back,"Dec 15, 1994 ",29,Brazil,Brazil,Rio de Janeiro,"1,90",-,DM,Brazil,,DM,
,Magno Alencar,Centre-Back,N/A ,29,Brazil,Brazil,Salvador,"1,87",-,LB,Brazil,,LB,
4.0,Wanderson,Centre-Back,"Oct 24, 1994 ",29,Brazil,Brazil,Sao Luis,"1,87",-,DM,Brazil,,DM,
3.0,Lazarini,Centre-Back,"Nov 5, 1994 ",29,"Brazil, Italy",Brazil,Campinas,"1,86",-,RB,Brazil, Italy,RB,
,Davi Luís,Centre-Back,"Apr 8, 1994 ",29,Brazil,Brazil,Barra de Santo Antonio,"1,85",-,LB,Brazil,,LB,
,Ricardo Lima,Centre-Back,"Feb 20, 1994 ",30,Brazil,Brazil,Jandaia do Sul,"1,89",-,LB,Brazil,,LB,
,Joseph,Centre-Back,"Dec 30, 1994 ",29,Brazil,Brazil,Sao Goncalo,"1,86",-,DM   RB,Brazil,,DM,RB
,Vitor Salvador,Centre-Back,"Apr 16, 1994 ",29,Brazil,Brazil,,"1,84",-,,Brazil,,,
,Eduardo Grasson,Centre-Back,"Apr 2, 1994 ",29,Brazil,Brazil,Sao Paulo,"1,86",-,RB,Brazil,,RB,
,Eduardo Melo,Centre-Back,"Apr 13, 1994 ",29,Brazil,Brazil,Recife,"1,88",-,RB,Brazil,,RB,
,Lucas Barreto,Centre-Back,"Nov 18, 1994 ",29,Brazil,Brazil,Presidente Prudente,"1,87",-,DM,Brazil,,DM,
94.0,Willian Nascimento,Centre-Back,"Mar 22, 1994 ",29,Brazil,Brazil,Brasilia,"1,85",-,,Brazil,,,
,Nattan,Centre-Back,"Oct 17, 1994 ",29,Brazil,Brazil,Brumado,"1,93",-,,Brazil,,,
,Lucas Rex,Centre-Back,"Nov 20, 1994 ",29,Brazil,Brazil,Nova Iguacu,"1,90",-,,Brazil,,,
,Wesley,Centre-Back,"Feb 17, 1994 ",30,Brazil,Brazil,Jundiai,"1,86",-,DM,Brazil,,DM,
4.0,Rodolfo Filemon,Centre-Back,"Aug 29, 1994 ",29,Brazil,Brazil,Sao Simao,"1,84",-,,Brazil,,,
,Yuri Bigode,Centre-Back,"Dec 8, 1994 ",29,Brazil,Brazil,,"1,90",-,,Brazil,,,
,Marcão,Centre-Back,"Sep 28, 1994 ",29,Brazil,Brazil,Salvador,"1,93",-,,Brazil,,,
,Lucas Cunha,Centre-Back,"Jun 24, 1994 ",29,Brazil,Brazil,Piracicaba,"1,90",-,DM,Brazil,,DM,
,Davy,Centre-Back,"Jun 10, 1994 ",29,Brazil,Brazil,,"1,90",-,DM,Brazil,,DM,
,Lucas Cunha,Centre-Back,"Feb 4, 1994 ",30,Brazil,Brazil,Sao Paulo,,-,,Brazil,,,
3.0,Patrick Marcelino,Centre-Back,"Mar 4, 1994 ",30,Brazil,Brazil,Osasco,"1,89",-,,Brazil,,,
,Wellyson,Centre-Back,"Mar 6, 1994 ",30,Brazil,Brazil,Campinas,"1,87",-,DM   CM,Brazil,,DM,CM
,Felipe Zang,Centre-Back,"May 21, 1994 ",29,Brazil,Brazil,Santa Helena,"1,90",-,,Brazil,,,
,Alisson,Centre-Back,"Feb 1, 1994 ",30,Brazil,Brazil,Realeza,"1,89",-,,Brazil,,,
,Gilberto Gomes,Centre-Back,"Mar 11, 1994 ",30,Brazil,Brazil,Goiania,"1,94",-,,Brazil,,,
,Felipe Barros,Centre-Back,"Aug 5, 1994 ",29,Brazil,Brazil,Recife,"1,94",-,,Brazil,,,
,Lucas,Centre-Back,"Jun 25, 1994 ",29,Brazil,Brazil,Salvador,"1,85",-,LB,Brazil,,LB,
,Victor,Centre-Back,"Apr 28, 1994 ",29,Brazil,Brazil,Conceicao do Araguaia,"1,90",-,LB,Brazil,,LB,
,Williams,Centre-Back,"Aug 11, 1994 ",29,Brazil,Brazil,Araxa,"1,85",-,,Brazil,,,
,Mael,Centre-Back,"Mar 6, 1994 ",30,Brazil,Brazil,Rio Grande do Norte,"1,80",-,,Brazil,,,
,Alexandre Hans,Centre-Back,"Jun 18, 1994 ",29,Brazil,Brazil,Harmonia,"1,95",-,LB,Brazil,,LB,
,Pedro Medeiros,Centre-Back,"Jan 22, 1994 ",30,Brazil,Brazil,Brasilia,"1,91",-,,Brazil,,,
,Matheus Brandão,Centre-Back,"Oct 25, 1994 ",29,Brazil,Brazil,,"1,92",-,DM   LB,Brazil,,DM,LB
,Baiano,Centre-Back,"Oct 12, 1994 ",29,Brazil,Brazil,Jabaquara,"1,89",-,,Brazil,,,
,Gustavo Japa,Centre-Back,"May 15, 1994 ",29,Brazil,Brazil,Goiania,"1,88",-,,Brazil,,,
,Pedro Lucas,Centre-Back,"Apr 29, 1994 ",29,Brazil,Brazil,Fortaleza,,-,,Brazil,,,
,Erwin Spitzner,Centre-Back,"Apr 29, 1994 ",29,Brazil,Brazil,Sao Bento do Sul,"1,85",-,RB   DM,Brazil,,RB,DM
,Donato,Centre-Back,"Feb 7, 1994 ",30,Brazil,Brazil,Coqueiral,"1,90",-,,Brazil,,,
,Mauricio,Centre-Back,"Feb 4, 1994 ",30,Brazil,Brazil,Registro,"1,84",-,DM   LB,Brazil,,DM,LB
,Felipe Macedo,Centre-Back,"Mar 27, 1994 ",29,Brazil,Brazil,Sao Miguel do Araguaia,"1,90",-,,Brazil,,,
,Rafael Zuchi,Centre-Back,"Jun 11, 1994 ",29,"Brazil, Italy",Brazil,Monte Alto,"1,88",-,,Brazil, Italy,,
,Cazu,Centre-Back,"Apr 11, 1994 ",29,Brazil,Brazil,,"1,92",-,,Brazil,,,
,Jamerson,Centre-Back,"Jun 23, 1994 ",29,Brazil,Brazil,Rio de Janeiro,"1,88",-,,Brazil,,,
,Nicollas,Centre-Back,"Apr 27, 1994 ",29,Brazil,Brazil,Rio de Janeiro,"1,85",-,DM   RB,Brazil,,DM,RB
,Paulo Henrique,Centre-Back,"Jan 19, 1994 ",30,Brazil,Brazil,Sao Paulo,"1,93",-,,Brazil,,,
,Dener,Centre-Back,"Sep 17, 1994 ",29,Brazil,Brazil,Fortaleza,"1,84",-,,Brazil,,,
2.0,Lucas Claser,Centre-Back,"May 16, 1994 ",29,"Brazil, Italy",Brazil,,,-,,Brazil, Italy,,
,Matheus,Centre-Back,"Feb 10, 1994 ",30,Brazil,Brazil,Parana,"1,82",-,,Brazil,,,
,Robson,Centre-Back,"May 11, 1994 ",29,Brazil,Brazil,,,-,,Brazil,,,
,Josué,Centre-Back,"Jan 28, 1994 ",30,Brazil,Brazil,Feira de Santana,"1,87",-,,Brazil,,,
4.0,Willyan Rocha,Centre-Back,"Jan 27, 1995 ",29,"Brazil, Italy",Brazil,Rio de Janeiro,"1,91",€7.00m,DM,Brazil, Italy,DM,
5.0,Lucas Veríssimo,Centre-Back,"Jul 2, 1995 ",28,Brazil,Brazil,Jundiai,"1,88",€7.00m,,Brazil,,,
5.0,Bernardo,Centre-Back,"May 14, 1995 ",28,Brazil,Brazil,Sao Paulo,"1,86",€4.00m,LB   DM,Brazil,,LB,DM
13.0,Thiago Martins,Centre-Back,"Mar 17, 1995 ",28,Brazil,Brazil,Sao Joao Evangelista,"1,85",€2.50m,,Brazil,,,
31.0,Kaio,Centre-Back,"Sep 18, 1995 ",28,Brazil,Brazil,Araraquara,"1,86",€1.80m,DM   CM,Brazil,,DM,CM
44.0,Yuri Matias,Centre-Back,"Feb 10, 1995 ",29,Brazil,Brazil,Campina Grande,"1,86",€1.20m,,Brazil,,,
73.0,Juninho,Centre-Back,"Feb 1, 1995 ",29,Brazil,Brazil,Londrina,"1,87",€1.00m,LB,Brazil,,LB,
5.0,Anderson,Centre-Back,"Mar 2, 1995 ",29,Brazil,Brazil,Lagarto,"1,86",€900k,,Brazil,,,
5.0,Héliton,Centre-Back,"Nov 13, 1995 ",28,Brazil,Brazil,,"1,95",€800k,DM,Brazil,,DM,
5.0,Gabriel,Centre-Back,"Mar 14, 1995 ",28,Brazil,Brazil,Pedro Leopoldo,"1,81",€550k,,Brazil,,,
3.0,Ygor Nogueira,Centre-Back,"Mar 27, 1995 ",28,Brazil,Brazil,Itaperuna,"1,87",€500k,,Brazil,,,
4.0,Lucas Áfrico,Centre-Back,"Feb 5, 1995 ",29,Brazil,Brazil,Sao Paulo,"1,88",€400k,LB,Brazil,,LB,
3.0,Philipe Maia,Centre-Back,"Jul 11, 1995 ",28,Brazil,Brazil,Brasilia,"1,85",€375k,,Brazil,,,
55.0,Rodrigão,Centre-Back,"Sep 11, 1995 ",28,Brazil,Brazil,Brasilia,"1,91",€7.00m,,Brazil,,,
4.0,Marlon,Centre-Back,"Sep 7, 1995 ",28,Brazil,Brazil,Duque de Caxias,"1,82",€5.00m,,Brazil,,,
34.0,Pedro Henrique,Centre-Back,"Oct 2, 1995 ",28,Brazil,Brazil,Lauro Muller,"1,88",€3.00m,,Brazil,,,
16.0,Igor Rabello,Centre-Back,"Apr 28, 1995 ",28,Brazil,Brazil,Rio de Janeiro,"1,90",€2.00m,,Brazil,,,
36.0,Bruno Viana,Centre-Back,"Feb 5, 1995 ",29,Brazil,Brazil,Macae,"1,86",€1.40m,DM   RB,Brazil,,DM,RB
4.0,Nathan,Centre-Back,"May 13, 1995 ",28,Brazil,Brazil,Sao Paulo,"1,88",€1.20m,DM,Brazil,,DM,
33.0,David Duarte,Centre-Back,"Jan 24, 1995 ",29,Brazil,Brazil,Rio Grande,"1,93",€1.00m,,Brazil,,,
33.0,Éder,Centre-Back,"Apr 5, 1995 ",28,Brazil,Brazil,Gurupi,"1,84",€900k,DM,Brazil,,DM,
4.0,Hugo Gomes,Centre-Back,"Jan 4, 1995 ",29,Brazil,Brazil,Campo Grande,"1,87",€600k,,Brazil,,,
