Number,Name,Position,Date of Birth,Age,Nationality,Birth Country,Place of Birth,Height,Market Value,Main Position,Other Positions,Nationality 1,Nationality 2,Position 2,Position 3
,Rodrigo Anjos,Goalkeeper,"Jan 15, 2005 ",19,Portugal,Portugal,Sintra,,"1,87",,,Portugal,,,
22.0,Pedro Ferreira,Goalkeeper,"Mar 2, 2005 ",19,Portugal,Portugal,,,,,,Portugal,,,
99.0,Marco Pereira,Goalkeeper,"Jun 23, 2005 ",18,Portugal,Portugal,,,,,,Portugal,,,
,Daniel Monteiro,Goalkeeper,"Jul 11, 2005 ",18,Portugal,Portugal,Fontinhas,,"1,85",,,Portugal,,,
,Salvador,Goalkeeper,"Jan 7, 2005 ",19,Portugal,Portugal,Celorico de Basto,,"1,78",,,Portugal,,,
,Renato Amorim,Goalkeeper,"Feb 10, 2005 ",19,Portugal,Portugal,Viana do Castelo,,"1,85",,,Portugal,,,
81.0,Salvador Gomes,Goalkeeper,"Jan 19, 2005 ",19,Portugal,Portugal,,,"1,97",,,Portugal,,,
,Ekumbi,Goalkeeper,"Jun 2, 2005 ",18,"Portugal, Angola",Portugal,Pacos de Ferreira,,"1,91",,,Portugal, Angola,,
,Martim Sousa,Goalkeeper,"Apr 1, 2005 ",19,Portugal,Portugal,Porto,,"1,85",,,Portugal,,,
,Francisco Pereira,Goalkeeper,"Mar 9, 2005 ",19,Portugal,Portugal,Linda-a-Velha,,,,,Portugal,,,
,Rodrigo Freitas,Goalkeeper,"Aug 9, 2005 ",18,Portugal,Portugal,Viana do Castelo,,"1,90",,,Portugal,,,
,Pedro Dinis,Goalkeeper,"Oct 25, 2005 ",18,Portugal,Portugal,Vila Nova de Famalicao,,"1,83",,,Portugal,,,
74.0,Guilherme Pires,Goalkeeper,"Apr 19, 2005 ",18,Portugal,Portugal,,,"1,94",,,Portugal,,,
81.0,João Fernandes,Goalkeeper,"Jan 25, 2005 ",19,Portugal,Portugal,Guimaraes,,"1,85",,,Portugal,,,
,José Monteiro,Goalkeeper,"Feb 21, 2005 ",19,Portugal,Portugal,,,"1,89",,,Portugal,,,
99.0,Francisco Silva,Goalkeeper,"Nov 20, 2005 ",18,"Portugal, Brazil",Portugal,Almada,,"1,90",,,Portugal, Brazil,,
13.0,Filipe Duarte,Centre-Back,"Mar 30, 1985 ",39,"Macao, Portugal",Portugal,Lisboa,"1,81",€10k,Defender,,Macao, Portugal,,
,Jorge Cunha,Centre-Back,"Aug 8, 1985 ",38,Portugal,Portugal,Paredes de Coura,"1,77",-,Defender,DM,Portugal,,DM,
,Bruno Teixeira,Centre-Back,"Jul 17, 1985 ",38,Portugal,Portugal,Porto,,-,Defender,RB,Portugal,,RB,
,Xavi,Centre-Back,"Mar 13, 1985 ",39,Portugal,Portugal,Fafe,"1,83",-,Defender,,Portugal,,,
,João Agostinho,Centre-Back,"Jul 18, 1985 ",38,Portugal,Portugal,Guimaraes,"1,94",-,Defender,,Portugal,,,
,Rui Maurício,Centre-Back,"Jul 4, 1985 ",38,"Portugal, Angola",Portugal,Costa da Caparica,"1,85",-,Defender,LB,Portugal, Angola,LB,
66.0,Pak-Kin Lao,Centre-Back,"May 24, 1985 ",38,Macao,Portugal,Macao,"1,79",-,Defender,,Macao,,,
,Rui Almeida,Centre-Back,"Feb 6, 1985 ",39,Portugal,Portugal,Caldas da Rainha,"1,81",-,Defender,,Portugal,,,
,Pinto,Centre-Back,"Nov 12, 1985 ",38,Portugal,Portugal,Santo Tirso,"1,84",-,Defender,DM,Portugal,,DM,
,Fernando Guimarães,Centre-Back,"Sep 8, 1985 ",38,Portugal,Portugal,Vila Real de Santo Antonio,"1,87",-,Defender,DM,Portugal,,DM,
,Luís Carlos,Centre-Back,"Oct 25, 1985 ",38,Portugal,Portugal,Vila do Conde,"1,93",-,Defender,,Portugal,,,
,Ginho,Centre-Back,"Jun 8, 1985 ",38,Portugal,Portugal,Paredes,"1,84",-,Defender,LB,Portugal,,LB,
,Vítor Pereira,Centre-Back,"Jan 8, 1985 ",39,Portugal,Portugal,Chaves,"1,84",-,Defender,RB   DM,Portugal,,RB,DM
,Sérgio,Centre-Back,"Jan 20, 1985 ",39,Portugal,Portugal,Canidelo,"1,84",-,Defender,,Portugal,,,
3.0,Márcio Anastácio,Centre-Back,"Sep 26, 1985 ",38,Portugal,Portugal,Viseu,,-,Defender,LB,Portugal,,LB,
4.0,Nuno Lucas,Centre-Back,"Apr 30, 1985 ",38,Portugal,Portugal,Almeirim,"1,87",-,Defender,RB,Portugal,,RB,
,João Leite,Centre-Back,"Jan 9, 1985 ",39,Portugal,Portugal,Vizela,"1,81",-,Defender,RB,Portugal,,RB,
,Nuno Cruz,Centre-Back,"Sep 18, 1985 ",38,Portugal,Portugal,Aveiro,"1,82",-,Defender,LB,Portugal,,LB,
,Alfredo,Centre-Back,"Mar 30, 1985 ",39,Portugal,Portugal,Viseu,"1,87",-,Defender,,Portugal,,,
,Materazzi,Centre-Back,"Mar 22, 1985 ",39,Portugal,Portugal,Gondomar,"1,88",-,Defender,,Portugal,,,
,Rúben Franco,Centre-Back,"Feb 25, 1985 ",39,Portugal,Portugal,Mafra,"1,79",-,Defender,RB,Portugal,,RB,
68.0,Vilaça,Centre-Back,"Mar 26, 1985 ",39,Portugal,Portugal,Santo Tirso,"1,90",-,Defender,DM   LB,Portugal,,DM,LB
,Carlos Pinto,Centre-Back,"Feb 18, 1985 ",39,Portugal,Portugal,Porto,"1,75",-,Defender,,Portugal,,,
,Baresi,Centre-Back,"Apr 4, 1985 ",39,Portugal,Portugal,Vieira de Leiria,,-,Defender,,Portugal,,,
,Fausto,Centre-Back,"Jan 12, 1985 ",39,Portugal,Portugal,Loule,"1,87",-,Defender,DM   RB,Portugal,,DM,RB
37.0,Vítor Alves,Centre-Back,"Apr 11, 1985 ",38,Portugal,Portugal,Sabrosa,"1,79",-,Defender,LB   RB,Portugal,,LB,RB
,Paulo Monteiro,Centre-Back,"Jan 21, 1985 ",39,Portugal,Portugal,Guimaraes,"1,91",-,Defender,DM,Portugal,,DM,
,Tiago Valente,Centre-Back,"Apr 24, 1985 ",38,Portugal,Portugal,Macedo de Cavaleiros,"1,86",-,Defender,,Portugal,,,
,Miguel Afonso,Centre-Back,"Jun 28, 1985 ",38,Portugal,Portugal,Figueira da Foz,"1,86",-,Defender,,Portugal,,,
,José Gonçalves,Centre-Back,"Sep 17, 1985 ",38,"Portugal, Switzerland",Portugal,Lisboa,"1,90",-,Defender,LB,Portugal, Switzerland,LB,
,Henrique Sereno,Centre-Back,"May 18, 1985 ",38,Portugal,Portugal,Elvas,"1,87",-,Defender,RB   LB,Portugal,,RB,LB
,Hugo,Centre-Back,"Feb 19, 1985 ",39,Portugal,Portugal,Gondomar,,-,Defender,LB,Portugal,,LB,
,Bruno Resende,Centre-Back,"Mar 10, 1985 ",39,Portugal,Portugal,Avanca,"1,87",-,Defender,DM,Portugal,,DM,
,Rui Jorge,Centre-Back,"Dec 26, 1985 ",38,Portugal,Portugal,Matosinhos,"1,84",-,Defender,LB,Portugal,,LB,
26.0,Rúben Fernandes,Centre-Back,"May 6, 1986 ",37,Portugal,Portugal,Portimao,"1,87",€100k,Defender,LB,Portugal,,LB,
6.0,Rafa Santos,Centre-Back,"Jul 6, 1986 ",37,Portugal,Portugal,Loule,,€50k,Defender,RB,Portugal,,RB,
5.0,Jorge Teixeira,Centre-Back,"Aug 27, 1986 ",37,Portugal,Portugal,Lisboa,"1,88",€25k,Defender,,Portugal,,,
4.0,Filipe Velhinho,Centre-Back,"Jul 27, 1986 ",37,Portugal,Portugal,Penedo Gordo,"1,90",-,Defender,DM,Portugal,,DM,
23.0,Gonçalo Lelé,Centre-Back,"Jan 30, 1986 ",38,Portugal,Portugal,Cascais,,-,Defender,,Portugal,,,
86.0,Jorge Ferreira,Centre-Back,"Mar 6, 1986 ",38,Portugal,Portugal,Felgueiras,"1,92",-,Defender,DM,Portugal,,DM,
,Diogo Catraio,Centre-Back,"Jan 16, 1986 ",38,Portugal,Portugal,Aveiro,"1,83",-,Defender,,Portugal,,,
,Ricardo Da Silva Moreira,Centre-Back,"Nov 8, 1986 ",37,Portugal,Portugal,Povoa de Varzim,,-,Defender,,Portugal,,,
,Bruno Bernardo,Centre-Back,"Mar 3, 1986 ",38,Portugal,Portugal,Lisboa,"1,83",-,Defender,RB,Portugal,,RB,
,Salvador,Centre-Back,"Sep 15, 1986 ",37,Portugal,Portugal,Vila Nova de Gaia,"1,84",-,Defender,LB,Portugal,,LB,
,Tiago Gonçalves,Centre-Back,"Sep 3, 1986 ",37,Portugal,Portugal,Viseu,"1,83",-,Defender,,Portugal,,,
,Nando,Centre-Back,"Dec 31, 1986 ",37,Portugal,Portugal,Vila Nova de Gaia,"1,75",-,Defender,RB,Portugal,,RB,
,Rui Silva,Centre-Back,"Oct 28, 1986 ",37,Portugal,Portugal,Santa Maria da Feira,"1,79",-,Defender,RB,Portugal,,RB,
13.0,Vasco Fernandes,Centre-Back,"Nov 12, 1986 ",37,Portugal,Portugal,Olhao,"1,82",€100k,Defender,RB   LB,Portugal,,RB,LB
13.0,Luís Rocha,Centre-Back,"Aug 13, 1986 ",37,Portugal,Portugal,Guimaraes,"1,86",€50k,Defender,,Portugal,,,
,Carlão,Centre-Back,"May 10, 1986 ",37,Portugal,Portugal,Santo Tirso,"1,86",-,Defender,,Portugal,,,
,Tiago Djiga,Centre-Back,"Mar 15, 1986 ",38,Portugal,Portugal,,,-,Defender,,Portugal,,,
,Amilcar Silva,Centre-Back,"Jun 15, 1986 ",37,Portugal,Portugal,Braganca,,-,Defender,,Portugal,,,
,João Pinto,Centre-Back,"Mar 29, 1986 ",38,Portugal,Portugal,Santa Maria da Feira,"1,85",-,Defender,,Portugal,,,
,Bruno Ferreira Jorge,Centre-Back,"Mar 3, 1986 ",38,"Luxembourg, Portugal",Portugal,,"1,78",-,Defender,GK,Luxembourg, Portugal,GK,
,Tó Sousa,Centre-Back,"Nov 27, 1986 ",37,Portugal,Portugal,Maia,"1,78",-,Defender,,Portugal,,,
,Tiago Costa,Centre-Back,"Oct 27, 1986 ",37,Portugal,Portugal,Povoa de Varzim,"1,85",-,Defender,,Portugal,,,
,Hugo Grilo,Centre-Back,"Jul 28, 1986 ",37,Portugal,Portugal,Odivelas,"1,82",-,Defender,RB,Portugal,,RB,
,Canelas,Centre-Back,"Jun 22, 1986 ",37,Portugal,Portugal,Lamego,"1,86",-,Defender,DM,Portugal,,DM,
,Cancela,Centre-Back,"Jan 7, 1986 ",38,Portugal,Portugal,Santa Maria da Feira,"1,86",-,Defender,,Portugal,,,
,Ricardo Ramos,Centre-Back,"Jun 20, 1986 ",37,Portugal,Portugal,Vendas Novas,"1,82",-,Defender,LB,Portugal,,LB,
,Dossa Júnior,Centre-Back,"Jul 28, 1986 ",37,"Cyprus, Portugal",Portugal,Lissabon,"1,89",-,Defender,,Cyprus, Portugal,,
,Paulo Ricardo,Centre-Back,"Mar 3, 1986 ",38,Portugal,Portugal,Braga,"1,87",-,Defender,,Portugal,,,
,Henrique,Centre-Back,"Oct 19, 1986 ",37,Portugal,Portugal,Fafe,"1,86",-,Defender,,Portugal,,,
,Campinho,Centre-Back,"Nov 12, 1986 ",37,Portugal,Portugal,Barcelos,"1,83",-,Defender,,Portugal,,,
3.0,Vítor Pinto,Centre-Back,"Apr 12, 1986 ",37,Portugal,Portugal,Guimaraes,"1,87",-,Defender,LB,Portugal,,LB,
,Gonçalo Brandão,Centre-Back,"Oct 9, 1986 ",37,Portugal,Portugal,Lisboa,"1,87",-,Defender,LB,Portugal,,LB,
,Éder Pereira,Centre-Back,"Jun 17, 1986 ",37,"Portugal, Cape Verde",Portugal,Lisboa,"1,80",-,Defender,,Portugal, Cape Verde,,
,Tozé,Centre-Back,"Feb 11, 1986 ",38,Portugal,Portugal,Lisboa,"1,86",-,Defender,,Portugal,,,
3.0,Pica,Centre-Back,"Apr 8, 1986 ",38,Portugal,Portugal,Moura,"1,85",-,Defender,,Portugal,,,
,Rui Costa,Centre-Back,"May 31, 1986 ",37,Portugal,Portugal,Freamunde,"1,77",-,Defender,,Portugal,,,
,Nuno André Coelho,Centre-Back,"Jan 7, 1986 ",38,Portugal,Portugal,Penafiel,"1,90",-,Defender,DM,Portugal,,DM,
,André Oliveira,Centre-Back,"May 6, 1986 ",37,Portugal,Portugal,Vizela,"1,80",-,Defender,,Portugal,,,
15.0,Fernando Varela,Centre-Back,"Nov 26, 1987 ",36,"Cape Verde, Portugal",Portugal,Cascais,"1,85",€200k,Defender,,Cape Verde, Portugal,,
,Nuno Mendonça,Centre-Back,"Apr 19, 1987 ",36,Portugal,Portugal,,"1,75",-,Defender,DM,Portugal,,DM,
4.0,Lino Graça,Centre-Back,"Sep 3, 1987 ",36,Portugal,Portugal,Camara de Lobos,"1,91",-,Defender,,Portugal,,,
20.0,Quinzinho,Centre-Back,"May 8, 1987 ",36,Portugal,Portugal,Castelo Branco,"1,87",-,Defender,,Portugal,,,
,Alex,Centre-Back,"Jan 6, 1987 ",37,Portugal,Portugal,,"1,85",-,Defender,DM,Portugal,,DM,
,César Nunes,Centre-Back,"Nov 15, 1987 ",36,Portugal,Portugal,Amarante,"1,92",-,Defender,,Portugal,,,
5.0,Saúl Rosa,Centre-Back,"Dec 27, 1987 ",36,Portugal,Portugal,Torres Novas,"1,80",-,Defender,,Portugal,,,
,Miguel Mendes,Centre-Back,"Dec 14, 1987 ",36,Portugal,Portugal,Guimaraes,"1,87",-,Defender,DM,Portugal,,DM,
,Calico,Centre-Back,"Dec 6, 1987 ",36,Portugal,Portugal,Mangualde,"1,82",-,Defender,DM   RB,Portugal,,DM,RB
7.0,Mário Costa,Centre-Back,"Oct 11, 1987 ",36,Portugal,Portugal,Moita,"1,90",-,Defender,,Portugal,,,
,Élio Wilson,Centre-Back,"Dec 20, 1987 ",36,"Portugal, Angola",Portugal,,"1,90",-,Defender,DM,Portugal, Angola,DM,
,Joel,Centre-Back,"Dec 7, 1987 ",36,Portugal,Portugal,Porto,"1,84",-,Defender,LB,Portugal,,LB,
,Tiago Pires,Centre-Back,"Jan 2, 1987 ",37,Portugal,Portugal,Lisboa,"1,87",-,Defender,,Portugal,,,
4.0,Tiago Rebelo,Centre-Back,"Aug 20, 1987 ",36,Portugal,Portugal,,,-,Defender,,Portugal,,,
5.0,Nuno Oliveira,Centre-Back,"Nov 17, 1987 ",36,Portugal,Portugal,Camara de Lobos,"1,76",-,Defender,LM   LB,Portugal,,LM,LB
,Rogério Azevedo,Centre-Back,"May 1, 1987 ",36,"Portugal, Switzerland",Portugal,Trinta,,-,Defender,,Portugal, Switzerland,,
15.0,Paulo Dinarte,Centre-Back,"Sep 15, 1987 ",36,Portugal,Portugal,,"1,78",-,Defender,RB,Portugal,,RB,
,Dani,Centre-Back,"Jan 20, 1987 ",37,Portugal,Portugal,Penafiel,"1,80",-,Defender,,Portugal,,,
,Alex Mártires,Centre-Back,"Mar 12, 1987 ",37,Portugal,Portugal,,"1,92",-,Defender,,Portugal,,,
4.0,André Sousa,Centre-Back,"Jan 1, 1987 ",37,Portugal,Portugal,Leiria,"1,78",-,Defender,DM,Portugal,,DM,
,Luís Conceição,Centre-Back,"Sep 14, 1987 ",36,Portugal,Portugal,Setubal,"1,88",-,Defender,DM,Portugal,,DM,
,Zé Pedro,Centre-Back,"Jan 4, 1987 ",37,Portugal,Portugal,Barcelos,"1,83",-,Defender,,Portugal,,,
,João Meira,Centre-Back,"Apr 30, 1987 ",36,Portugal,Portugal,Almada,"1,85",-,Defender,RB   DM,Portugal,,RB,DM
,João Batista,Centre-Back,"Jan 3, 1987 ",37,Portugal,Portugal,Leiria,,-,Defender,RB,Portugal,,RB,
,Pedro Seabra,Centre-Back,"Nov 11, 1987 ",36,Portugal,Portugal,Matosinhos,"1,84",-,Defender,,Portugal,,,
,Daniel,Centre-Back,"Mar 29, 1987 ",37,Portugal,Portugal,Braga,"1,85",-,Defender,RB,Portugal,,RB,
,Fabeta,Centre-Back,"Apr 1, 1987 ",37,Portugal,Portugal,Gondomar,"1,89",-,Defender,DM   RB,Portugal,,DM,RB
16.0,Bruno Pinheiro,Centre-Back,"Aug 21, 1987 ",36,"Portugal, Brazil",Portugal,Paranhos,"1,85",-,Defender,DM,Portugal, Brazil,DM,
,Fábio Ervões,Centre-Back,"Feb 26, 1987 ",37,Portugal,Portugal,Valpacos,"1,85",-,Defender,,Portugal,,,
,Paulo Renato,Centre-Back,"May 14, 1987 ",36,Portugal,Portugal,Alcacer do Sal,"1,83",-,Defender,,Portugal,,,
,João Pedro,Centre-Back,"Dec 29, 1987 ",36,Portugal,Portugal,Porto,"1,90",-,Defender,,Portugal,,,
13.0,Luís Neto,Centre-Back,"May 26, 1988 ",35,Portugal,Portugal,Povoa do Varzim,"1,85",€300k,Defender,RB   DM,Portugal,,RB,DM
2.0,José Carlos,Centre-Back,"Apr 12, 1988 ",35,Portugal,Portugal,Flamengos,,-,Defender,DM,Portugal,,DM,
,Nuno Ferreira,Centre-Back,"Mar 18, 1988 ",36,Portugal,Portugal,Costa da Caparica,"1,82",-,Defender,,Portugal,,,
,Ricardo Santos,Centre-Back,"Mar 11, 1988 ",36,Portugal,Portugal,Lisboa,"1,95",-,Defender,,Portugal,,,
,Paulo Silva,Centre-Back,"Mar 28, 1988 ",36,Portugal,Portugal,Ponte da Barca,"1,84",-,Defender,,Portugal,,,
,Gustavo,Centre-Back,"Oct 10, 1988 ",35,Portugal,Portugal,Ovar,"1,82",-,Defender,,Portugal,,,
,Miguel Marreiros,Centre-Back,"Nov 8, 1988 ",35,Portugal,Portugal,Lagos,"1,8",-,Defender,,Portugal,,,
,Farruba,Centre-Back,"Nov 3, 1988 ",35,Portugal,Portugal,Leiria,"1,90",-,Defender,,Portugal,,,
,Xavier,Centre-Back,"Dec 2, 1988 ",35,Portugal,Portugal,,"1,86",-,Defender,,Portugal,,,
44.0,Ricardo Machado,Centre-Back,"Sep 13, 1988 ",35,Portugal,Portugal,Sandim,"1,90",-,Defender,DM,Portugal,,DM,
4.0,Pinto,Centre-Back,"May 2, 1988 ",35,Portugal,Portugal,Braga,"1,91",-,Defender,DM,Portugal,,DM,
,Cristiano Goncalves,Centre-Back,"Sep 26, 1988 ",35,"Luxembourg, Portugal",Portugal,Bilho,,-,Defender,DM   LB,Luxembourg, Portugal,DM,LB
,Yago Fernández,Centre-Back,"Jan 5, 1988 ",36,"Portugal, Spain",Portugal,Lisboa,"1,94",-,Defender,DM,Portugal, Spain,DM,
4.0,Bura,Centre-Back,"Dec 17, 1988 ",35,Portugal,Portugal,Matosinhos,"1,91",€50k,Defender,,Portugal,,,
3.0,André Moreira,Centre-Back,"Apr 20, 1988 ",35,Portugal,Portugal,Marco de Canaveses,"1,78",-,Defender,LB   RB,Portugal,,LB,RB
3.0,Fred Coelho,Centre-Back,"Oct 25, 1988 ",35,Portugal,Portugal,Gondomar,"1,84",-,Defender,DM,Portugal,,DM,
,Jojó Pereira,Centre-Back,"Jun 9, 1988 ",35,Portugal,Portugal,Setubal,"1,82",-,Defender,RB,Portugal,,RB,
21.0,Fábio Marinheiro,Centre-Back,"Nov 11, 1988 ",35,Portugal,Portugal,Montijo,"1,87",-,Defender,DM,Portugal,,DM,
,Fábio Santos,Centre-Back,"May 22, 1988 ",35,Portugal,Portugal,Viseu,"1,84",-,Defender,DM,Portugal,,DM,
,Trindade,Centre-Back,"Mar 16, 1988 ",36,Portugal,Portugal,,"1,83",-,Defender,,Portugal,,,
,Joao Paulino,Centre-Back,"Sep 18, 1988 ",35,Portugal,Portugal,Alenquer,"1,86",-,Defender,,Portugal,,,
,Chapa,Centre-Back,"May 21, 1988 ",35,Portugal,Portugal,,"1,88",-,Defender,,Portugal,,,
,Carlos Mendes,Centre-Back,"Feb 10, 1988 ",36,"Portugal, Brazil",Portugal,Penafiel,"1,87",-,Defender,DM,Portugal, Brazil,DM,
,Penela,Centre-Back,"Jan 7, 1988 ",36,Portugal,Portugal,Penafiel,"1,77",-,Defender,RB,Portugal,,RB,
,Élio,Centre-Back,"Jun 22, 1988 ",35,Portugal,Portugal,Santo Tirso,"1,83",-,Defender,,Portugal,,,
,Simão Coutinho,Centre-Back,"Apr 7, 1988 ",36,Portugal,Portugal,Viana do Castelo,"1,82",-,Defender,,Portugal,,,
,Daniel Carriço,Centre-Back,"Aug 4, 1988 ",35,Portugal,Portugal,Cascais,"1,83",-,Defender,DM,Portugal,,DM,
3.0,Jair Amador,Centre-Back,"Aug 21, 1989 ",34,"Portugal, Spain",Portugal,Sao Jorge de Arroios,"1,90",€600k,Defender,,Portugal, Spain,,
6.0,Marco Baixinho,Centre-Back,"Jul 11, 1989 ",34,Portugal,Portugal,Arruda dos Vinhos,"1,87",€150k,Defender,,Portugal,,,
19.0,Moreira,Centre-Back,"Oct 19, 1989 ",34,Portugal,Portugal,Lordelo,"1,84",-,Defender,,Portugal,,,
,Nuno Silva,Centre-Back,"Mar 4, 1989 ",35,Portugal,Portugal,Castro Marim,"1,80",-,Defender,DM,Portugal,,DM,
,Zé Luis,Centre-Back,"Apr 2, 1989 ",35,Portugal,Portugal,Chaves,"1,87",-,Defender,DM,Portugal,,DM,
21.0,Ricardo Carvalho,Centre-Back,"Jul 5, 1989 ",34,Portugal,Portugal,Loures,"1,80",-,Defender,RB,Portugal,,RB,
,Russo,Centre-Back,"Jan 30, 1989 ",35,Portugal,Portugal,Coimbra,"1,68",-,Defender,DM,Portugal,,DM,
,Miguel Oliveira,Centre-Back,"Dec 22, 1989 ",34,Portugal,Portugal,Angra do Heroismo,"1,84",-,Defender,DM,Portugal,,DM,
,José Maria Navas,Centre-Back,"Nov 19, 1989 ",34,Portugal,Portugal,Moura,,-,Defender,DM,Portugal,,DM,
,Makukula,Centre-Back,"Jun 14, 1989 ",34,"Guinea-Bissau, Portugal",Portugal,Albergaria-a-Velha,"1,93",-,Defender,,Guinea-Bissau, Portugal,,
,Flavio Miguel Mendes Pina,Centre-Back,"May 5, 1989 ",34,Portugal,Portugal,,"1,80",-,Defender,LB,Portugal,,LB,
,Celso,Centre-Back,"Feb 20, 1989 ",35,Portugal,Portugal,Barcelos,,-,Defender,,Portugal,,,
34.0,João Paulo,Centre-Back,"May 8, 1989 ",34,Portugal,Portugal,Braga,"1,89",-,Defender,,Portugal,,,
4.0,Miguel Vítor,Centre-Back,"Jun 30, 1989 ",34,"Israel, Portugal",Portugal,Torres Vedras,"1,84",€300k,Defender,RB,Israel, Portugal,RB,
39.0,Jaime Simões,Centre-Back,"Jun 11, 1989 ",34,Portugal,Portugal,Santarem,"1,88",€50k,Defender,RB,Portugal,,RB,
,Cruz,Centre-Back,"Jul 4, 1989 ",34,Portugal,Portugal,Gondomar,"1,90",-,Defender,,Portugal,,,
,Francisco Maia,Centre-Back,"Jan 23, 1989 ",35,Portugal,Portugal,,,-,Defender,,Portugal,,,
15.0,Raúl Babo,Centre-Back,"May 23, 1989 ",34,Portugal,Portugal,Lixa,"1,85",-,Defender,LB,Portugal,,LB,
,Bruno Graça,Centre-Back,"Dec 11, 1989 ",34,Portugal,Portugal,Vila do Conde,"1,91",-,Defender,DM,Portugal,,DM,
,Rúben Magalhães,Centre-Back,"Sep 17, 1989 ",34,Portugal,Portugal,Viana do Castelo,"1,85",-,Defender,RB,Portugal,,RB,
77.0,Joscelino Silva Dos Santos,Centre-Back,"Aug 29, 1989 ",34,"Portugal, Guinea-Bissau",Portugal,Vila Franca de Xira,"1,78",-,Defender,RB,Portugal, Guinea-Bissau,RB,
6.0,Cristiano Vasconcelos,Centre-Back,"Jul 10, 1989 ",34,Portugal,Portugal,Funchal,"1,85",-,Defender,,Portugal,,,
,Nélson Mota,Centre-Back,"Apr 15, 1989 ",34,Portugal,Portugal,Barreiro,"1,80",-,Defender,,Portugal,,,
,João Mário,Centre-Back,"Jun 26, 1989 ",34,Portugal,Portugal,Santa Marta de Penaguiao,,-,Defender,,Portugal,,,
,Carlos Santos,Centre-Back,"Mar 31, 1989 ",35,Portugal,Portugal,Barroselas,"1,88",-,Defender,,Portugal,,,
,Jorge Abreu,Centre-Back,"Mar 29, 1989 ",35,Portugal,Portugal,Cucujaes,"1,78",-,Defender,RB,Portugal,,RB,
,André Micael,Centre-Back,"Feb 4, 1989 ",35,Portugal,Portugal,Guimaraes,"1,88",-,Defender,,Portugal,,,
,Hélder Duarte,Centre-Back,"Apr 3, 1989 ",35,Portugal,Portugal,Vila Nova de Gaia,"1,85",-,Defender,DM,Portugal,,DM,
,Palmeira,Centre-Back,"Sep 24, 1989 ",34,Portugal,Portugal,Vila Real,"1,87",-,Defender,RB,Portugal,,RB,
,Fábio Faria,Centre-Back,"Apr 24, 1989 ",34,Portugal,Portugal,Vila do Conde,"1,89",-,Defender,LB,Portugal,,LB,
4.0,Diogo Careca,Centre-Back,"Oct 11, 1989 ",34,Portugal,Portugal,Santa Maria da Feira,"1,89",-,Defender,,Portugal,,,
,Romeu Pinto,Centre-Back,"Apr 18, 1989 ",34,Portugal,Portugal,Guimaraes,"1,80",-,Defender,,Portugal,,,
,Diogo Leite,Centre-Back,"Apr 29, 1989 ",34,Portugal,Portugal,Porto,"1,84",-,Defender,,Portugal,,,
23.0,Luís Pedro,Centre-Back,"Jun 23, 1989 ",34,Portugal,Portugal,Pacos de Ferreira,"1,90",-,Defender,,Portugal,,,
,André Pinto,Centre-Back,"Oct 5, 1989 ",34,Portugal,Portugal,Vila Nova de Gaia,"1,94",-,Defender,,Portugal,,,
5.0,João Afonso,Centre-Back,"May 28, 1990 ",33,Portugal,Portugal,Castelo Branco,"1,88",€100k,Defender,,Portugal,,,
,João Marques,Centre-Back,"Mar 1, 1990 ",34,Portugal,Portugal,Lourosa,"1,84",-,Defender,RB,Portugal,,RB,
,Nuno Santos,Centre-Back,"Jun 20, 1990 ",33,Portugal,Portugal,,,-,Defender,LB,Portugal,,LB,
,Pitéu,Centre-Back,"Apr 15, 1990 ",33,Portugal,Portugal,,"1,80",-,Defender,DM,Portugal,,DM,
,Bernardo Oliveira,Centre-Back,"Sep 10, 1990 ",33,Portugal,Portugal,Santarem,"1,87",-,Defender,,Portugal,,,
,Rui Roque,Centre-Back,"Oct 16, 1990 ",33,Portugal,Portugal,Peniche,,-,Defender,,Portugal,,,
,Tiago Macedo,Centre-Back,"Jun 15, 1990 ",33,Portugal,Portugal,Guimaraes,"1,83",-,Defender,,Portugal,,,
17.0,Hugo Duarte,Centre-Back,"Feb 10, 1990 ",34,Portugal,Portugal,Braga,"1,84",-,Defender,RB,Portugal,,RB,
22.0,Fábio Santos,Centre-Back,"Mar 31, 1990 ",34,Portugal,Portugal,Torres Vedras,"1,80",-,Defender,RB,Portugal,,RB,
15.0,Hélder Feijó,Centre-Back,"Feb 5, 1990 ",34,Portugal,Portugal,Arcos de Valdevez,"1,85",-,Defender,DM,Portugal,,DM,
64.0,Diogo Vila,Centre-Back,"Feb 7, 1990 ",34,Portugal,Portugal,Vila Mea,"1,86",-,Defender,DM,Portugal,,DM,
,Diogo Oliveira,Centre-Back,"May 5, 1990 ",33,Portugal,Portugal,Lisboa,"1,83",-,Defender,RB,Portugal,,RB,
,Hugo Lopes,Centre-Back,"Jan 23, 1990 ",34,Portugal,Portugal,Guimaraes,"1,82",-,Defender,DM,Portugal,,DM,
33.0,Rui Correia,Centre-Back,"Aug 23, 1990 ",33,Portugal,Portugal,Chaves,"1,88",€75k,Defender,DM,Portugal,,DM,
,Mendes,Centre-Back,"Jan 9, 1990 ",34,Portugal,Portugal,Cortegaca,"1,83",-,Defender,,Portugal,,,
3.0,Pedro Xarrato,Centre-Back,"Apr 9, 1990 ",34,Portugal,Portugal,Lamego,"1,82",-,Defender,,Portugal,,,
