Number,Name,Position,Date of Birth,Age,Nationality,Birth Country,Place of Birth,Height,Market Value,Main Position,Other Positions,Nationality 1,Nationality 2,Nationality 3,Position 2,Position 3
5.0,Gonzalo Verdú,Centre-Back,"Oct 21, 1988 ",35,Spain,Spain,Cartagena,"1,88",€200k,Defender,,Spain,,,,
,Héctor Yuste,Centre-Back,"Jan 12, 1988 ",36,Spain,Spain,Cartagena,"1,91",€150k,Defender,DM,Spain,,,DM,
17.0,Raúl Navas,Centre-Back,"May 11, 1988 ",36,Spain,Spain,Sevilla,"1,87",€100k,Defender,,Spain,,,,
17.0,José Manuel Cruz,Centre-Back,"Aug 10, 1988 ",35,Spain,Spain,Cordoba,"1,87",€100k,Defender,,Spain,,,,
2.0,Pajarero,Centre-Back,"Jun 17, 1988 ",36,Spain,Spain,Malaga,"1,91",€50k,Defender,RB,Spain,,,RB,
4.0,Javi Sánchez,Centre-Back,"May 29, 1988 ",36,Spain,Spain,Villanueva de la Serena,"1,87",€50k,Defender,,Spain,,,,
5.0,Esteban Montes,Centre-Back,"Apr 3, 1988 ",36,Spain,Spain,La Linea de la Concepcion,"1,77",€10k,Defender,,Spain,,,,
,Dani Fernández,Centre-Back,"May 9, 1988 ",36,Spain,Spain,As Pontes,,-,Defender,,Spain,,,,
20.0,Alberto García,Centre-Back,"Oct 2, 1988 ",35,Spain,Spain,Barcelona,,-,Defender,,Spain,,,,
,Juan Manuel Quintero,Centre-Back,"Nov 3, 1988 ",35,Spain,Spain,Sevilla,,-,Defender,,Spain,,,,
,Dani Aparicio,Centre-Back,"Mar 17, 1988 ",36,Spain,Spain,Plasencia,"1,90",-,Defender,,Spain,,,,
,Fernando Recio,Centre-Back,"Mar 21, 1988 ",36,Spain,Spain,Cordoba,,-,Defender,,Spain,,,,
,Sergio Postigo,Centre-Back,"Nov 4, 1988 ",35,Spain,Portugal,Madrid,"1,84",€400k,Defender,,Spain,,,,
,Kiko Olivas,Centre-Back,"Aug 21, 1988 ",35,Spain,Portugal,Antequera,"1,84",€200k,Defender,,Spain,,,,
,Raúl Albentosa,Centre-Back,"Sep 7, 1988 ",35,Spain,Portugal,Alzira,"1,92",€150k,Defender,,Spain,,,,
,José Antonio Pardo,Centre-Back,"Apr 21, 1988 ",36,Spain,Portugal,Puzol,"1,88",€100k,Defender,CM,Spain,,,CM,
,Carlie de Murga,Centre-Back,"Nov 30, 1988 ",35,"Philippines, Spain",Portugal,Puerto de Santa Maria,"1,80",€75k,Defender,RB   DM,Philippines, Spain,,RB,DM
4.0,José Manuel Carrasco,Centre-Back,"Jan 27, 1988 ",36,Spain,Portugal,Antequera,"1,85",€50k,Defender,,Spain,,,,
,Pedro Orfila,Centre-Back,"Mar 6, 1988 ",36,Spain,Portugal,Luanco,"1,78",€50k,Defender,RB,Spain,,,RB,
5.0,Antonio González,Centre-Back,"Nov 30, 1988 ",35,Spain,Portugal,Silleda,,-,Defender,,Spain,,,,
,Miguel Ángel Gálvez,Centre-Back,"Dec 4, 1988 ",35,Spain,Portugal,Atarfe,,-,Defender,,Spain,,,,
18.0,Angelo,Centre-Back,"Mar 24, 1988 ",36,Spain,Portugal,Santiago de Compostela,,-,Defender,,Spain,,,,
,Roberto Soriano,Centre-Back,"Jun 25, 1988 ",36,Spain,Portugal,Almeria,"1,88",-,Defender,,Spain,,,,
,Javi Gadea,Centre-Back,"Dec 6, 1988 ",35,Spain,Portugal,Almunecar,"1,88",-,Defender,,Spain,,,,
,David Moreno,Centre-Back,"Jul 19, 1988 ",35,Spain,Spain,La Linea de la Concepcion,,-,Defender,,Spain,,,,
,Enrique Sampedro,Centre-Back,"Apr 7, 1988 ",36,Spain,Spain,Valencia,"1,78",-,Defender,RB,Spain,,,RB,
4.0,Miguel Sánchez,Centre-Back,"Sep 12, 1988 ",35,Spain,Spain,A Coruna,,-,Defender,,Spain,,,,
,Adrián Arias,Centre-Back,"Apr 3, 1988 ",36,Spain,Spain,Cacabelos,,-,Defender,,Spain,,,,
5.0,Elvis Suárez,Centre-Back,"Jul 21, 1988 ",35,Spain,Spain,,"1,82",-,Defender,,Spain,,,,
,Xabier Jorge,Centre-Back,"Mar 8, 1988 ",36,Spain,Spain,Urretxu,"1,88",-,Defender,,Spain,,,,
,Juanma Martínez,Centre-Back,"Jun 19, 1988 ",36,Spain,Spain,Pinar,"1,79",-,Defender,,Spain,,,,
3.0,Pedro Muñoz,Centre-Back,"Jan 9, 1988 ",36,Spain,Spain,Cerdanyola del Valles,"1,82",-,Defender,,Spain,,,,
,Dani Hernández,Centre-Back,"May 30, 1988 ",36,Spain,Spain,La Orotava,,-,Defender,RB,Spain,,,RB,
,Oier Barrado,Centre-Back,"Aug 8, 1988 ",35,Spain,Spain,Leioa,"1,88",-,Defender,,Spain,,,,
,Francisco Jose Gonzalez Bobada,Centre-Back,"Feb 3, 1988 ",36,Spain,Spain,Marchena,"1,94",-,Defender,,Spain,,,,
,Jorge Castellanos,Centre-Back,"Apr 23, 1988 ",36,Spain,Spain,Ibi,"1,86",-,Defender,,Spain,,,,
,Jorge Huertas,Centre-Back,"Sep 23, 1988 ",35,Spain,Spain,Ontinyent,,-,Defender,,Spain,,,,
,Juan Ferrer,Centre-Back,"Aug 9, 1988 ",35,Spain,Portugal,Cadiz,,-,Defender,,Spain,,,,
4.0,Lolo Liberal,Centre-Back,"Apr 6, 1988 ",36,Spain,Portugal,Navalmoral de la Mata,,-,Defender,,Spain,,,,
,David Escudero,Centre-Back,"Jul 14, 1988 ",36,Spain,Portugal,Alicante,"1,88",-,Defender,LB,Spain,,,LB,
,Sergio Panes,Centre-Back,"Oct 18, 1988 ",35,Spain,Portugal,La Linea de la Concepcion,,-,Defender,,Spain,,,,
,Marcos Rodríguez,Centre-Back,"Dec 13, 1988 ",35,Spain,Portugal,Santiago de Compostela,,-,Defender,LB,Spain,,,LB,
,Alberto Ramón,Centre-Back,"Sep 16, 1988 ",35,Spain,Portugal,Rafelbunol,,-,Defender,,Spain,,,,
,Samuel Fernández,Centre-Back,"Apr 8, 1988 ",36,Spain,Portugal,Chiclana de la Frontera,,-,Defender,RB,Spain,,,RB,
21.0,Cristian Navarro,Centre-Back,"Dec 27, 1988 ",35,Spain,Portugal,Elche,"1,81",-,Defender,,Spain,,,,
,Jesús Suárez,Centre-Back,"Aug 3, 1988 ",35,Spain,Portugal,Valencia,,-,Defender,DM,Spain,,,DM,
,Diego Nuño,Centre-Back,"Jan 29, 1988 ",36,Spain,Portugal,Gijon,"1,81",-,Defender,LB,Spain,,,LB,
,Isidro Lasaga,Centre-Back,"Aug 7, 1988 ",35,Spain,Portugal,Linares,"1,82",-,Defender,,Spain,,,,
,Pau Pomar,Centre-Back,"Apr 21, 1988 ",36,Spain,Portugal,Palma de Mallorca,,-,Defender,,Spain,,,,
,Claudio Santa,Centre-Back,"Aug 15, 1988 ",35,Spain,Spain,Yecla,"1,81",-,Defender,,Spain,,,,
,Francis Ruiz,Centre-Back,"Mar 30, 1988 ",36,Spain,Spain,Lepe,,-,Defender,,Spain,,,,
,Francisco Márquez Aragon,Centre-Back,"Apr 15, 1988 ",36,Spain,Spain,Cadiz,"1,82",-,Defender,,Spain,,,,
5.0,Jesús Lalaguna,Centre-Back,"Apr 1, 1988 ",36,Spain,Spain,Cortes,"1,83",-,Defender,,Spain,,,,
,Roberto Eslava,Centre-Back,"Jan 22, 1988 ",36,Spain,Spain,Telde,"1,86",-,Defender,,Spain,,,,
,Unai Allende,Centre-Back,"Dec 14, 1988 ",35,Spain,Spain,Laudio/Llodio,"1,83",-,Defender,,Spain,,,,
,Álvaro Arroyo,Centre-Back,"Jul 22, 1988 ",35,Spain,Spain,Madrid,"1,80",-,Defender,RB,Spain,,,RB,
,Iván González,Centre-Back,"Feb 15, 1988 ",36,Spain,Spain,Malaga,,-,Defender,,Spain,,,,
,Rubén Alba,Centre-Back,"Jan 31, 1988 ",36,Spain,Spain,Carracedelo,"1,81",-,Defender,,Spain,,,,
,Egoitz Astuy,Centre-Back,"Jan 17, 1988 ",36,Spain,Spain,Bilbao,"1,80",-,Defender,DM   CM,Spain,,,DM,CM
,Xabi Garalde,Centre-Back,"Jul 5, 1988 ",36,Spain,Spain,Berriatua,"1,85",-,Defender,,Spain,,,,
,Borja Ekiza,Centre-Back,"Mar 6, 1988 ",36,Spain,Spain,Pamplona,"1,82",-,Defender,,Spain,,,,
,Kiko Insa,Centre-Back,"Jan 25, 1988 ",36,"Malaysia, Spain",Spain,Cocentaina,"1,90",-,Defender,DM   CM,Malaysia, Spain,,DM,CM
,David Barrachina,Centre-Back,"Jul 11, 1988 ",36,Spain,Portugal,Pamplona,"1,80",-,Defender,LB   RB,Spain,,,LB,RB
,Adrián Padrón,Centre-Back,"Jun 6, 1988 ",36,Spain,Portugal,Ourense,"1,82",-,Defender,,Spain,,,,
,Alfonso Artabe,Centre-Back,"Aug 18, 1988 ",35,Spain,Portugal,Palma de Mallorca,"1,88",-,Defender,CM,Spain,,,CM,
,Werner,Centre-Back,"Oct 7, 1988 ",35,Spain,Portugal,Alicante,"1,87",-,Defender,,Spain,,,,
,Juanito Calahorro,Centre-Back,"May 12, 1988 ",36,Spain,Portugal,Torredonjimeno,"1,84",-,Defender,,Spain,,,,
4.0,Mario Sánchez,Centre-Back,"Oct 8, 1988 ",35,Spain,Portugal,Madrid,"1,84",-,Defender,,Spain,,,,
,Juan Manuel Lobato,Centre-Back,"May 10, 1988 ",36,Spain,Portugal,La Linea de la Concepcion,"1,80",-,Defender,RB,Spain,,,RB,
,Daniel Achi,Centre-Back,"Jul 14, 1988 ",36,Spain,Portugal,Las Palmas de Gran Canaria,"1,80",-,Defender,,Spain,,,,
,Borja Navarro,Centre-Back,"May 13, 1988 ",36,Spain,Portugal,Valencia,"1,79",-,Defender,RB,Spain,,,RB,
,Carlos Tomás,Centre-Back,"May 18, 1988 ",36,Spain,Portugal,Ibiza,"1,85",-,Defender,,Spain,,,,
16.0,José Picón,Centre-Back,"May 13, 1988 ",36,Spain,Portugal,Santander,"1,84",-,Defender,,Spain,,,,
4.0,Omar Hernández,Centre-Back,"Jun 2, 1988 ",36,Spain,Portugal,Gijon,"1,80",-,Defender,RB,Spain,,,RB,
22.0,Josete,Centre-Back,"May 28, 1988 ",36,Spain,Spain,Elche,"1,79",-,Defender,,Spain,,,,
,Pau Bosch,Centre-Back,"Mar 30, 1988 ",36,Spain,Spain,Fondarella,"1,78",-,Defender,,Spain,,,,
,Alberto Campillo,Centre-Back,"Mar 13, 1988 ",36,Spain,Spain,Vigo,"1,75",-,Defender,RB,Spain,,,RB,
,Carmelo García,Centre-Back,"Mar 17, 1988 ",36,Spain,Spain,Gallegos de Hornija,,-,Defender,,Spain,,,,
,Carlos de Paz,Centre-Back,"May 16, 1988 ",36,Spain,Spain,Madrid,"1,89",-,Defender,,Spain,,,,
,Raúl Goni,Centre-Back,"Oct 12, 1988 ",35,Spain,Spain,Zaragoza,"1,87",-,Defender,LB   RB,Spain,,,LB,RB
,Miki Roqué,Centre-Back,"Jul 8, 1988","Jul 8, 1988",Spain,Spain,Tremp,"1,86",-,Defender,RB,Spain,,,RB,
,Óscar Reyes,Centre-Back,"Mar 12, 1988 ",36,Spain,Spain,Cordoba,"1,85",-,Defender,LB,Spain,,,LB,
,Héctor Rodas,Centre-Back,"Mar 7, 1988 ",36,Spain,Spain,Valencia,"1,91",-,Defender,,Spain,,,,
,Diego Simón,Centre-Back,"Aug 30, 1988 ",35,Spain,Spain,Barakaldo,"1,80",-,Defender,LB,Spain,,,LB,
,Borja Gómez,Centre-Back,"May 14, 1988 ",36,Spain,Spain,Madrid,"1,83",-,Defender,,Spain,,,,
,Gerardo Comba,Centre-Back,"Apr 15, 1988 ",36,Spain,Spain,Granada,"1,88",-,Defender,,Spain,,,,
,Jon Echaide,Centre-Back,"Jan 5, 1988 ",36,Spain,Spain,Baranain,"1,81",-,Defender,,Spain,,,,
5.0,David López,Centre-Back,"Oct 9, 1989 ",34,Spain,Spain,Barcelona,"1,85",€2.50m,Defender,DM   CM,Spain,,,DM,CM
,Luis Hernández,Centre-Back,"Apr 14, 1989 ",35,Spain,Spain,Madrid,"1,82",€500k,Defender,RB,Spain,,,RB,
3.0,Andreu Fontàs,Centre-Back,"Nov 14, 1989 ",34,Spain,Spain,Banyoles,"1,86",€300k,Defender,DM,Spain,,,DM,
23.0,Alberto Escassi,Centre-Back,"Feb 28, 1989 ",35,Spain,Spain,Malaga,"1,86",€250k,Defender,DM,Spain,,,DM,
3.0,Alberto Botía,Centre-Back,"Jan 27, 1989 ",35,Spain,Spain,Alquerias,"1,88",€200k,Defender,,Spain,,,,
,Jorge Casado,Centre-Back,"Jun 26, 1989 ",35,Spain,Spain,Madrid,"1,85",€150k,Defender,LB,Spain,,,LB,
4.0,Víctor Vázquez,Centre-Back,"Oct 17, 1989 ",34,Spain,Spain,Marin,"1,79",€150k,Defender,,Spain,,,,
3.0,Alejandro Gálvez,Centre-Back,"Jun 6, 1989 ",35,Spain,Spain,Granada,"1,90",€100k,Defender,,Spain,,,,
16.0,Moisés García,Centre-Back,"Oct 31, 1989 ",34,Spain,Spain,Sevilla,"1,86",€50k,Defender,,Spain,,,,
5.0,Alain Álvarez,Centre-Back,"Nov 13, 1989 ",34,Spain,Spain,Gijon,"1,83",€25k,Defender,,Spain,,,,
5.0,Ayoub Alouat,Centre-Back,"Feb 27, 1989 ",35,"Spain, Morocco",Spain,Ceuta,,-,Defender,,Spain, Morocco,,,
,Javi Conde,Centre-Back,"May 3, 1989 ",35,Spain,Spain,Santa Maria de Cayon,"1,84",-,Defender,,Spain,,,,
,Francisco Javier Rabadán,Centre-Back,"Feb 6, 1989 ",35,Spain,Spain,Murcia,,-,Defender,RB,Spain,,,RB,
5.0,Aridane Hernández,Centre-Back,"Mar 23, 1989 ",35,Spain,Portugal,Tuineje,"1,88",€800k,Defender,,Spain,,,,
,Víctor Ruiz,Centre-Back,"Jan 25, 1989 ",35,Spain,Portugal,Esplugues de Llobregat,"1,84",€500k,Defender,,Spain,,,,
4.0,Pedro Alcalá,Centre-Back,"Mar 19, 1989 ",35,Spain,Portugal,Mazarron,"1,96",€300k,Defender,,Spain,,,,
16.0,Odei Onaindia,Centre-Back,"Dec 7, 1989 ",34,Spain,Portugal,Lekeitio,"1,80",€200k,Defender,,Spain,,,,
,Alejandro Arribas,Centre-Back,"May 1, 1989 ",35,Spain,Portugal,Madrid,"1,82",€175k,Defender,,Spain,,,,
,José Ángel,Centre-Back,"Mar 2, 1989 ",35,Spain,Portugal,Salamanca,"1,87",€150k,Defender,DM,Spain,,,DM,
4.0,Míchel Zabaco,Centre-Back,"Feb 6, 1989 ",35,Spain,Portugal,Burgos,"1,85",€150k,Defender,LB,Spain,,,LB,
4.0,Rubén Díaz,Centre-Back,"Jun 10, 1989 ",35,Spain,Portugal,Cadiz,"1,83",€50k,Defender,DM,Spain,,,DM,
4.0,Yaki Yen,Centre-Back,"Apr 21, 1989 ",35,"Chinese Taipei, Spain",Portugal,Puerto del Rosario,"1,78",€25k,Defender,DM,Chinese Taipei, Spain,,DM,
4.0,Iván Parra,Centre-Back,"Apr 14, 1989 ",35,Spain,Portugal,Almeria,,-,Defender,,Spain,,,,
,Rubén Silva,Centre-Back,"May 27, 1989 ",35,Spain,Portugal,Las Palmas de Gran Canaria,,-,Defender,,Spain,,,,
4.0,Rubén Hernández,Centre-Back,"Jun 23, 1989 ",35,Spain,Portugal,,"1,78",-,Defender,,Spain,,,,
,Manu Rubio,Centre-Back,"Dec 17, 1989 ",34,Spain,Spain,Arnedo,"1,84",-,Defender,,Spain,,,,
,Álvaro Santos,Centre-Back,"Feb 3, 1989 ",35,Spain,Spain,Carrion de los Condes,,-,Defender,,Spain,,,,
,Carlos Rodríguez,Centre-Back,"Jan 27, 1989 ",35,Spain,Spain,Puerto del Rosario,,-,Defender,,Spain,,,,
17.0,Rayco Rodriguez,Centre-Back,"Jul 12, 1989 ",35,Spain,Spain,Barcelona,"1,72",-,Defender,,Spain,,,,
,Jorge Chacón,Centre-Back,"Jul 9, 1989 ",35,Spain,Spain,Pamplona,,-,Defender,LB,Spain,,,LB,
,David Fontanils,Centre-Back,"Jul 3, 1989 ",35,Spain,Spain,Les Planes d'Hostoles,"1,85",-,Defender,,Spain,,,,
,Fernando Sánchez,Centre-Back,"Oct 20, 1989 ",34,Spain,Spain,La Linea de la Concepcion,"1,82",-,Defender,,Spain,,,,
5.0,Manu Jaimez,Centre-Back,"Apr 24, 1989 ",35,Spain,Spain,Madrid,,-,Defender,RB   LB,Spain,,,RB,LB
,Manuel Pozo,Centre-Back,"Apr 13, 1989 ",35,Spain,Spain,Badajoz,"1,84",-,Defender,,Spain,,,,
,Denís Coch,Centre-Back,"Aug 13, 1989 ",34,Spain,Spain,Tarragona,,-,Defender,LB,Spain,,,LB,
,Antonio Muñoz,Centre-Back,"Sep 23, 1989 ",34,Spain,Spain,Malaga,"1,84",-,Defender,,Spain,,,,
5.0,Joaquín Peña,Centre-Back,"May 6, 1989 ",35,Spain,Spain,Pola de Siero,,-,Defender,RB,Spain,,,RB,
,Cachana,Centre-Back,"Feb 20, 1989 ",35,Spain,Spain,Los Palacios,"1,90",-,Defender,,Spain,,,,
,Víctor Rodríguez,Centre-Back,"Oct 2, 1989 ",34,Spain,Portugal,Barcelona,"1,80",-,Defender,,Spain,,,,
,José Miguel Llavero,Centre-Back,"May 19, 1989 ",35,Spain,Portugal,Benidorm,,-,Defender,,Spain,,,,
,Antonio Rumbo,Centre-Back,"May 25, 1989 ",35,Spain,Portugal,Almansa,"1,83",-,Defender,,Spain,,,,
,Jesus Glynn,Centre-Back,"Sep 20, 1989 ",34,Spain,Portugal,Algeciras,"1,87",-,Defender,,Spain,,,,
,José María Cruz,Centre-Back,"Sep 18, 1989 ",34,Spain,Portugal,Lebrija,"1,90",-,Defender,,Spain,,,,
,Mario Ganuza,Centre-Back,"Nov 18, 1989 ",34,Spain,Portugal,Pamplona,"1,86",-,Defender,CM   DM,Spain,,,CM,DM
,Pecas,Centre-Back,"May 21, 1989 ",35,Spain,Portugal,Malaga,,-,Defender,LB,Spain,,,LB,
,Lluis Micaló,Centre-Back,"Aug 11, 1989 ",34,Spain,Portugal,Girona,"1,85",-,Defender,RB,Spain,,,RB,
,Guillermo Pérez,Centre-Back,"Jul 12, 1989 ",35,Spain,Portugal,La Linea de la Concepcion,"1,82",-,Defender,CM,Spain,,,CM,
,Adrián Garrido,Centre-Back,"Apr 25, 1989 ",35,Spain,Portugal,Pizarra,"1,80",-,Defender,,Spain,,,,
,Toto,Centre-Back,"Feb 18, 1989 ",35,Spain,Portugal,Caceres,"1,86",-,Defender,,Spain,,,,
,Guti,Centre-Back,"Mar 22, 1989 ",35,Spain,Portugal,Villaviciosa,,-,Defender,DM,Spain,,,DM,
,Álvaro Benítez,Centre-Back,"Apr 20, 1989 ",35,Spain,Spain,Algeciras,"1,85",-,Defender,,Spain,,,,
,Marcos Arango,Centre-Back,"Feb 4, 1989 ",35,Spain,Spain,Aviles,,-,Defender,LB,Spain,,,LB,
,Adrián Salinas,Centre-Back,"Jul 6, 1989 ",35,Spain,Spain,Sagunto,,-,Defender,RB   CM,Spain,,,RB,CM
16.0,Jesús Moyano,Centre-Back,"Jan 28, 1989 ",35,Spain,Spain,Alcala de Henares,"1,79",-,Defender,RB,Spain,,,RB,
,Xabier Garcés,Centre-Back,"Feb 6, 1989 ",35,Spain,Spain,Bilbao,,-,Defender,,Spain,,,,
,Sergio Tena,Centre-Back,"Nov 3, 1989 ",34,Spain,Spain,Alcala de Henares,"1,84",-,Defender,,Spain,,,,
,Jose Carlos Fernández,Centre-Back,"May 24, 1989 ",35,Spain,Spain,Alcala de Guadaira,,-,Defender,,Spain,,,,
,Stefan Collantes,Centre-Back,"Mar 15, 1989 ",35,Spain,Spain,Madrid,"1,90",-,Defender,LB,Spain,,,LB,
,Adrián Pazó,Centre-Back,"Nov 10, 1989 ",34,Spain,Spain,Vigo,"1,91",-,Defender,,Spain,,,,
,Bidari García,Centre-Back,"Sep 27, 1989 ",34,Spain,Spain,Madrid,"1,89",-,Defender,DM   RB,Spain,,,DM,RB
,Héctor Ladero,Centre-Back,"May 13, 1989 ",35,Spain,Spain,Salamanca,"1,93",-,Defender,,Spain,,,,
5.0,Unai Albizua,Centre-Back,"Jan 18, 1989 ",35,Spain,Spain,Barakaldo,"1,81",-,Defender,RB,Spain,,,RB,
,Borja Perea,Centre-Back,"Mar 11, 1989 ",35,Spain,Spain,Jerez de la Frontera,"1,84",-,Defender,,Spain,,,,
,Luis Obispo,Centre-Back,"Aug 3, 1989 ",34,Spain,Portugal,Valladolid,"1,80",-,Defender,RB   CM,Spain,,,RB,CM
,José Moreira,Centre-Back,"Mar 21, 1989 ",35,Spain,Portugal,Carballo,,-,Defender,RB   CM,Spain,,,RB,CM
,Álex Carmona,Centre-Back,"Sep 19, 1989 ",34,Spain,Portugal,Granada,"1,78",-,Defender,RB,Spain,,,RB,
,José Romero,Centre-Back,"Jul 24, 1989 ",34,Spain,Portugal,Sanlucar de Barrameda,"1,84",-,Defender,,Spain,,,,
,Ramón Soria,Centre-Back,"Mar 7, 1989 ",35,Spain,Portugal,Alicante,"1,82",-,Defender,LB   DM,Spain,,,LB,DM
,Javi Díaz,Centre-Back,"Aug 1, 1989 ",34,Spain,Portugal,Madrid,"1,86",-,Defender,CM   RB,Spain,,,CM,RB
16.0,Julio Rico,Centre-Back,"Jun 11, 1989 ",35,Spain,Portugal,El Rubio,"1,84",-,Defender,CM   RB,Spain,,,CM,RB
,Miguel Ángel Marín,Centre-Back,"Apr 4, 1989 ",35,Spain,Portugal,Valencia,"1,89",-,Defender,,Spain,,,,
,Saúl Fernández,Centre-Back,"Jan 29, 1989 ",35,Spain,Portugal,Zamora,"1,78",-,Defender,,Spain,,,,
,Sergio Pardo,Centre-Back,"Feb 3, 1989 ",35,Spain,Portugal,Eltziego,"1,84",-,Defender,,Spain,,,,
,Unai Santamaría,Centre-Back,"Mar 7, 1989 ",35,Spain,Portugal,Basauri,,-,Defender,,Spain,,,,
,Marcos Caridad,Centre-Back,"Dec 28, 1989 ",34,Spain,Portugal,La Coruna,"1,85",-,Defender,,Spain,,,,
,Guillem Truyols,Centre-Back,"Nov 11, 1989 ",34,Spain,Spain,Manacor,"1,79",-,Defender,RB,Spain,,,RB,
,Ramón Blázquez,Centre-Back,"Mar 5, 1989 ",35,Spain,Spain,Tobarra,"1,80",-,Defender,RB,Spain,,,RB,
4.0,Ángel Ortega,Centre-Back,"Nov 20, 1989 ",34,Spain,Spain,Castellon de la Plana,"1,77",-,Defender,CM   RB,Spain,,,CM,RB
,Jon Varela,Centre-Back,"Apr 18, 1989 ",35,Spain,Spain,Eibar,,-,Defender,,Spain,,,,
,Fran González,Centre-Back,"Feb 1, 1989 ",35,Spain,Spain,Cordoba,"1,82",-,Defender,CM,Spain,,,CM,
,Oriol Ricarte,Centre-Back,"Feb 3, 1989 ",35,Spain,Spain,Barcelona,"1,81",-,Defender,LB,Spain,,,LB,
4.0,Alberto Prada,Centre-Back,"Jan 19, 1989 ",35,Spain,Spain,Ponferrada,"1,83",-,Defender,DM   LB,Spain,,,DM,LB
4.0,José Ballester,Centre-Back,"Jun 10, 1989 ",35,Spain,Spain,Xativa,"1,80",-,Defender,RB   LB,Spain,,,RB,LB
,Antonio López,Centre-Back,"Sep 5, 1989 ",34,Spain,Spain,Puerto Lumbreras,"1,87",-,Defender,,Spain,,,,
,Juan Cala,Centre-Back,"Nov 26, 1989 ",34,Spain,Spain,Lebrija,"1,86",-,Defender,,Spain,,,,
,Víctor Laguardia,Centre-Back,"Nov 5, 1989 ",34,Spain,Spain,Zaragoza,"1,83",-,Defender,,Spain,,,,
,Guille Savall,Centre-Back,"Jun 26, 1989 ",35,Spain,Spain,Barcelona,"1,80",-,Defender,,Spain,,,,
,Aridane Hornero,Centre-Back,"Jan 13, 1989 ",35,Spain,Spain,Cartagena,"1,82",-,Defender,,Spain,,,,
,Jeroni Coll,Centre-Back,"May 18, 1989 ",35,Spain,Spain,Ciutadella,"1,84",-,Defender,,Spain,,,,
18.0,Álex Bolado,Centre-Back,"Mar 23, 1989 ",35,Spain,Spain,La Encina de Cayon,"1,84",-,Defender,,Spain,,,,
,Jorge Carmona,Centre-Back,"Jul 14, 1989 ",35,Spain,Spain,Murcia,"1,89",-,Defender,CM,Spain,,,CM,
,Manu Torres,Centre-Back,"Aug 14, 1989 ",34,Spain,Spain,Torremolinos,"1,86",-,Defender,LB,Spain,,,LB,
,Deivid,Centre-Back,"Jan 27, 1989 ",35,Spain,Spain,Las Palmas de Gran Canaria,"1,88",-,Defender,,Spain,,,,
,Juan Antonio Cabrera,Centre-Back,"Feb 22, 1989 ",35,Spain,Spain,Ceuta,"1,95",-,Defender,,Spain,,,,
,Álex Bao,Centre-Back,"Jan 3, 1989 ",35,Spain,Spain,Lugo,"1,81",-,Defender,,Spain,,,,
,César Ortiz,Centre-Back,"Jan 30, 1989 ",35,Spain,Spain,Toledo,"1,82",-,Defender,,Spain,,,,
,Chema Antón,Centre-Back,"Mar 19, 1989 ",35,Spain,Spain,Casas del Senor,"1,85",-,Defender,LB,Spain,,,LB,
,Arturo Navarro,Centre-Back,"Mar 14, 1989 ",35,Spain,Spain,Castello de la Plana,"1,83",-,Defender,,Spain,,,,
,Álvaro Domínguez,Centre-Back,"May 16, 1989 ",35,Spain,Spain,Madrid,,-,Defender,LB,Spain,,,LB,
,Nacho Fernández,Centre-Back,"Jan 18, 1990 ",34,Spain,Spain,Madrid,"1,80",€3.00m,Defender,RB   LB,Spain,,,RB,LB
6.0,Pedro Bigas,Centre-Back,"May 15, 1990 ",34,Spain,Spain,Palma de Mallorca,"1,81",€800k,Defender,LB,Spain,,,LB,
,Bruno González,Centre-Back,"May 24, 1990 ",34,Spain,Spain,Las Galletas,"1,84",€200k,Defender,,Spain,,,,
,Pichu Atienza,Centre-Back,"Jan 18, 1990 ",34,Spain,Spain,Cordoba,"1,90",€175k,Defender,,Spain,,,,
,Alberto Guitián,Centre-Back,"Jul 29, 1990 ",33,Spain,Spain,Los Corrales de Buelna,"1,81",€150k,Defender,CM,Spain,,,CM,
,Eneko Satrústegui,Centre-Back,"Sep 25, 1990 ",33,Spain,Spain,Villava,"1,87",€150k,Defender,LB,Spain,,,LB,
15.0,Asiel Mateo,Centre-Back,"Nov 8, 1990 ",33,Spain,Spain,Navalmoral de la Mata,"1,81",€100k,Defender,,Spain,,,,
,Carlos Hernández,Centre-Back,"Sep 15, 1990 ",33,Spain,Spain,Jaen,"1,85",€100k,Defender,,Spain,,,,
,Álex Quintanilla,Centre-Back,"Jul 2, 1990 ",34,Spain,Spain,Bilbao,"1,85",€100k,Defender,,Spain,,,,
,Tano Bonnín,Centre-Back,"Jun 30, 1990 ",34,"Dominican Republic, Spain",Spain,Palma de Mallorca,"1,86",€100k,Defender,,Dominican Republic, Spain,,,
,Ekhi Senar,Centre-Back,"Apr 26, 1990 ",34,Spain,Spain,Baranain,"1,80",€100k,Defender,,Spain,,,,
,Lulu,Centre-Back,"Oct 3, 1990 ",33,Spain,Spain,Malaga,"1,85",€25k,Defender,,Spain,,,,
5.0,Ezequiel Rojas,Centre-Back,"Jun 22, 1990 ",34,Spain,Spain,La Linea de la Concepcion,"1,85",€10k,Defender,RB,Spain,,,RB,
,Álvaro González,Centre-Back,"Jan 8, 1990 ",34,Spain,Portugal,Potes,"1,82",€1.50m,Defender,RB,Spain,,,RB,
2.0,Mario Gaspar,Centre-Back,"Nov 24, 1990 ",33,Spain,Portugal,Novelda,"1,80",€800k,Defender,RB,Spain,,,RB,
