Number,Name,Position,Date of Birth,Age,Birth Country,Place of Birth,Other Positions,Height
,Christopher Glombard,Centre-Back,"Jun 5, 1989 ",34,France,Montreuil,RB   RM,"1,80"
,Guillaume Rubulotta,Centre-Back,"Oct 16, 1989 ",34,France,Croix,,"1,87"
,Joris Jehan,Centre-Back,"Sep 15, 1989 ",34,France,Vénissieux,,"1,92"
26,Aymen Belaïd,Centre-Back,"Jan 2, 1989 ",35,France,Paris,LB,"1,92"
,Pierre-François Sodini,Centre-Back,"Jun 22, 1989 ",34,France,Bastia,,"1,86"
,Maxime Le Marchand,Centre-Back,"Oct 11, 1989 ",34,France,Saint-Malo,LB   DM,"1,85"
,Carl Parisio,Centre-Back,"Aug 7, 1989 ",34,France,Cannes,,"1,83"
14,Romain Saïss,Centre-Back,"Mar 26, 1990 ",33,France,Bourg-de-Péage,DM,"1,88"
5,Mathieu Peybernes,Centre-Back,"Oct 21, 1990 ",33,France,Toulouse,RB,"1,87"
5,Mehdi Tahrat,Centre-Back,"Jan 24, 1990 ",34,France,Meudon,DM,"1,93"
3,Marvin Baudry,Centre-Back,"Jan 26, 1990 ",34,France,Reims,RB,"1,87"
,Cédric Yambéré,Centre-Back,"Nov 6, 1990 ",33,France,Bordeaux,DM,"1,91"
,Bradley Diallo,Centre-Back,"Jul 20, 1990 ",33,France,Marseille,LB,"1,83"
,Loic Ondo,Centre-Back,"Oct 5, 1990 ",33,France,Rennes,,"1,86"
2,Ibrahim Sori Diallo,Centre-Back,"Oct 10, 1990 ",33,France,Lyon,,"1,76"
,Davy Lumon,Centre-Back,"Jan 11, 1990 ",34,France,Clamart,DM,"1,90"
,Mamadou Diarra,Centre-Back,"Feb 19, 1990 ",34,France,Paris,,
,Eddy Fernandes,Centre-Back,"Nov 14, 1990 ",33,France,Saint-Denis,,"1,83"
,Mamadou Touré,Centre-Back,"Oct 15, 1990 ",33,France,Le Cateau,,
,Rodrigues Kinkani,Centre-Back,"Sep 30, 1990 ",33,France,Saint-Germain en Laye,RB   DM,N/A
,Mamadou Sakho,Centre-Back,"Feb 13, 1990 ",34,France,Paris,LB,"1,87"
5,Adrien Monfray,Centre-Back,"Dec 20, 1990 ",33,France,Nizza,DM   RB,"1,85"
25,Salif Sané,Centre-Back,"Aug 25, 1990 ",33,France,Lormont,DM,"1,96"
78,Abdelaye Diakite,Centre-Back,"Jan 8, 1990 ",34,France,Les Mureaux,,"1,91"
,Jérémy Romany,Centre-Back,"Apr 20, 1990 ",33,France,Saint-Priest,,"1,86"
5,Benjamin Boulenger,Centre-Back,"Mar 1, 1990 ",34,France,Maubeuge,LB,"1,88"
,Grégory Laloyer,Centre-Back,"Aug 30, 1990 ",33,France,Beuvry,,
,Valentin Guichard,Centre-Back,"Jul 2, 1990 ",33,France,Nantua,LB   DM,"1,85"
,Romain Viviès,Centre-Back,"Apr 27, 1990 ",33,France,Toulouse,,"1,82"
,Johan Champsaur,Centre-Back,"Jul 5, 1990 ",33,France,Gap,,"1,83"
5,Fabrice Guzel,Centre-Back,"Nov 9, 1990 ",33,France,Lyon,,"1,85"
,Zady Moise,Centre-Back,"Feb 8, 1990 ",34,France,Yvoy-le-Marron,DM,"1,94"
,Samuel Mansour,Centre-Back,"May 12, 1990 ",33,France,Pabu,LB   DM,"1,94"
24,Moussa Diarra,Centre-Back,"Feb 4, 1990 ",34,France,Trappes,,"1,97"
,Prince Mambouana,Centre-Back,"Sep 10, 1990 ",33,France,Marseille,RB   DM,"1,90"
5,Guillaume Dequaire,Centre-Back,"Jul 11, 1990 ",33,France,Besançon,,"1,87"
,Steeven Willems,Centre-Back,"Aug 31, 1990 ",33,France,Seclin,LB,"1,84"
,Ladjie Soukouna,Centre-Back,"Dec 15, 1990 ",33,France,Maisons-Alfort,DM,"1,92"
,Kevin Gallo,Centre-Back,"May 2, 1990 ",33,France,Roncq,DM,"1,92"
,Flavien Rosset,Centre-Back,"Aug 30, 1990 ",33,France,Compiègne,RB   LB,"1,90"
,Wilfried Rother,Centre-Back,"Sep 20, 1990 ",33,France,Coulommiers,,"1,83"
,Mickaël Firmin,Centre-Back,"Sep 21, 1990 ",33,France,Rodez,RB   DM,"1,79"
,Florian Aigouy,Centre-Back,"Aug 15, 1990 ",33,France,Tarbes,,"1,82"
,Kévin Barré,Centre-Back,"Jan 25, 1990 ",34,France,La Tranche-sur-Mer,,"1,88"
,Clévid Dikamona,Centre-Back,"Jun 23, 1990 ",33,France,Caen,,"1,88"
,Olivier Guéguen,Centre-Back,"Jun 27, 1990 ",33,France,Brest,DM   CM,"1,89"
,Rémi Bonnet,Centre-Back,"Oct 21, 1990 ",33,France,Gilley,DM,"1,91"
,Michaël Bosqui,Centre-Back,"Feb 2, 1990 ",34,France,,,"1,80"
,Stéphane Madeira,Centre-Back,"Jan 4, 1990 ",34,France,Paris,,"1,93"
,Adrien Le Ho,Centre-Back,"Aug 23, 1990 ",33,France,Loudéac,,"1,76"
,Tony Diagne,Centre-Back,"Sep 17, 1990 ",33,France,Aubergenville,LB,"1,87"
,Julien Berthomier,Centre-Back,"Apr 15, 1990 ",33,France,Grasse,RB,"1,80"
,Benjamin Lacrampe,Centre-Back,"Jul 5, 1990 ",33,France,Saint-Palais,LB,"1,80"
5,Kieran Felix,Centre-Back,"Aug 9, 1990 ",33,France,Roubaix,LB,"1,86"
15,Teddy Mezague,Centre-Back,"May 27, 1990 ",33,France,Marseille,DM,"1,87"
,Thibault Balp,Centre-Back,"Feb 23, 1990 ",34,France,Béziers,,"1,86"
,Yohan Bocognano,Centre-Back,"Jun 12, 1990 ",33,France,Ajaccio,LB,"1,85"
13,Kevin Lafrance,Centre-Back,"Jan 13, 1990 ",34,France,Bondy,,"1,86"
,Alexandre Durimel,Centre-Back,"Mar 16, 1990 ",33,France,Paris,,"1,89"
,Matthieu Saunier,Centre-Back,"Feb 7, 1990 ",34,France,Hyères,RB,"1,81"
12,Kévin Afougou,Centre-Back,"Jan 26, 1990 ",34,France,Aubergenville,LB,"1,82"
,Abdelhamid El Kaoutari,Centre-Back,"Mar 17, 1990 ",33,France,Montpellier,LB,"1,80"
,Mickaël Fourtier,Centre-Back,"Oct 2, 1990 ",33,France,,RB,"1,80"
,Omar Benzerga,Centre-Back,"Mar 13, 1990 ",33,France,Châtellerault,DM   RB,"1,87"
,Yvan Erichot,Centre-Back,"Mar 25, 1990 ",33,France,Chambray-les-Tours,,"1,88"
4,Mamadou Wagué,Centre-Back,"Aug 19, 1990 ",33,France,Saint-Brieuc,RB,"1,94"
,Clément Jouve,Centre-Back,"Jun 28, 1990 ",33,France,Firminy,,"1,76"
,Geoffrey Christophe,Centre-Back,"Jun 15, 1990 ",33,France,Gouvieux,,"1,86"
5,Nicolas Seguin,Centre-Back,"Mar 6, 1990 ",33,France,Lyon,RB,"1,81"
,Badis Lebbihi,Centre-Back,"Mar 14, 1990 ",33,France,Nanterre,LB,"1,81"
,Guillaume Salzard,Centre-Back,N/A ,33,France,Villiers-le-Bel,DM   LB,N/A
3,Kalidou Koulibaly,Centre-Back,"Jun 20, 1991 ",32,France,Saint-Dié-des-Vosges,,"1,86"
30,Willy Boly,Centre-Back,"Feb 3, 1991 ",33,France,Melun,,"1,95"
21,Kevin Boli,Centre-Back,"Jun 21, 1991 ",32,France,Lens,RB   LB,"1,86"
,Chris Mavinga,Centre-Back,"May 26, 1991 ",32,France,Meaux,LB,"1,83"
15,Timothée Kolodziejczak,Centre-Back,"Oct 1, 1991 ",32,France,Avion,LB,"1,83"
21,Joris Chougrani,Centre-Back,"Mar 30, 1991 ",32,France,Cassagnes,LB,"1,85"
17,Samuel Yohou,Centre-Back,"Aug 6, 1991 ",32,France,Villepinte,,"1,90"
23,Vincent Sasso,Centre-Back,"Feb 16, 1991 ",33,France,Saint-Cloud,SW   DM,"1,90"
,Boris Kok,Centre-Back,"May 20, 1991 ",32,France,Tomblaine,CM   DM,"1,74"
,João Couto,Centre-Back,"Aug 3, 1991 ",32,France,Vitry-sur-Seine,,"1,77"
,Christopher Neuville,Centre-Back,"Dec 8, 1991 ",32,France,Maubeuge,,
,Nassim Laribi,Centre-Back,"Jul 18, 1991 ",32,France,Laval,,
,Jacques Mourey,Centre-Back,"Nov 15, 1991 ",32,France,,RB   DM,"1,84"
24,Florian Lejeune,Centre-Back,"May 20, 1991 ",32,France,Paris,,"1,90"
23,Aïssa Mandi,Centre-Back,"Oct 22, 1991 ",32,France,Châlons-en-Champagne,RB,"1,84"
4,Rudy Camacho,Centre-Back,"Mar 5, 1991 ",32,France,L'Arbresle,,"1,86"
22,Eliaquim Mangala,Centre-Back,"Feb 13, 1991 ",33,France,Colombes,,"1,87"
29,Nicolas Isimat-Mirin,Centre-Back,"Nov 15, 1991 ",32,France,Meudon,RB,"1,87"
2,Éric Vandenabeele,Centre-Back,"Dec 16, 1991 ",32,France,Calais,,"1,84"
5,Rachid Bouhenna,Centre-Back,"Jun 29, 1991 ",32,France,Méru,RB   DM,"1,91"
44,William Rémy,Centre-Back,"Apr 4, 1991 ",32,France,Courbevoie,DM   RB,"1,86"
4,Jordan Damachoua,Centre-Back,"Jul 10, 1991 ",32,France,Reims,RB,"1,85"
,Hassen Fellak,Centre-Back,"Feb 21, 1991 ",33,France,Bourgoin-Jallieu,,"1,84"
,Sébastien Pérédes,Centre-Back,"Jan 15, 1991 ",33,France,Nîmes,,"1,85"
21,Alexandre Perrot,Centre-Back,"Mar 21, 1991 ",32,France,Argenteuil,,"1,82"
,Johan Faivre,Centre-Back,"Feb 6, 1991 ",33,France,Besançon,LB,"1,75"
,Mickael Gueu,Centre-Back,"Apr 29, 1991 ",32,France,Paris,,"1,95"
,Julien Auzépy,Centre-Back,"Jul 3, 1991 ",32,France,Castres,,"1,92"
,Rodolphe Mabunda,Centre-Back,"Aug 25, 1991 ",32,France,Mantes-la-Jolie,,"1,85"
,Birahim Sarr,Centre-Back,"Jul 27, 1991 ",32,France,,LB   DM,"1,82"
23,Hamidou Ba,Centre-Back,"Feb 13, 1991 ",33,France,Creil,,"1,98"
,Alexandre Carvalho,Centre-Back,"Jul 1, 1991 ",32,France,Seclin,DM,"1,85"
,Clément Simonin,Centre-Back,"Jan 7, 1991 ",33,France,Lorient,,"1,88"
,Pierre Pérou,Centre-Back,"Dec 19, 1991 ",32,France,Chatellerault,,"1,85"
19,Mohamed Sahnoune,Centre-Back,"Mar 13, 1991 ",32,France,Marseille,,"1,82"
,Serge Tonye,Centre-Back,"Feb 22, 1991 ",33,France,Paris,DM,"1,91"
,Paul Baudin,Centre-Back,"May 7, 1991 ",32,France,Quimper,,"1,87"
,Benoit Dalibard,Centre-Back,"Mar 26, 1991 ",32,France,Landerneau,,"1,88"
,Allan Merel,Centre-Back,"Apr 8, 1991 ",32,France,Paris,RB,"1,79"
,Younes Bellali,Centre-Back,"May 31, 1991 ",32,France,Maubeuge,,"1,85"
,Medhi Hocianat,Centre-Back,"Jul 15, 1991 ",32,France,Maisons-Laffitte,,"1,76"
,Youssef Zidane,Centre-Back,"Oct 29, 1991 ",32,France,Bergerac,,"1,80"
,Antoine Peron,Centre-Back,"Oct 2, 1991 ",32,France,Strasbourg,,"1,87"
,Jude Varsovie,Centre-Back,"Oct 20, 1991 ",32,France,Colmar,,"1,88"
,Victor Nirennold,Centre-Back,"Apr 5, 1991 ",32,France,Rennes,RB   DM,"1,94"
,Cyril Benamara,Centre-Back,"Apr 20, 1991 ",32,France,Vannes,DM   RB,"1,78"
,Ivans Gomis,Centre-Back,N/A ,33,France,Evreux,,N/A
4,Djibril Diarra,Centre-Back,"Dec 14, 1991 ",32,France,Paris,,
,Gaëtan Bourbier,Centre-Back,"Jan 2, 1991 ",33,France,Gouvieux,DM,"1,78"
,Guillaume Chassac,Centre-Back,"Jul 22, 1991 ",32,France,La Rochelle,DM   RB,"1,84"
4,Rayan Frikeche,Centre-Back,"Oct 9, 1991 ",32,France,Angers,DM   CM,"1,84"
,Stefan Milojevic,Centre-Back,"Feb 20, 1991 ",33,France,Brest,LB,"1,93"
,Antonio Asanovic,Centre-Back,"Aug 9, 1991 ",32,France,Cannes,,"1,94"
22,Kévin Renaut,Centre-Back,"Apr 28, 1991 ",32,France,Marseille,RB,"1,86"
,Jules Compère,Centre-Back,"Nov 11, 1991 ",32,France,Sainte-Catherine-lès-Arras,,"1,84"
,Cedric Krou,Centre-Back,"Jul 25, 1991 ",32,France,Paris,DM,
,Teddy Kayombo,Centre-Back,"Jan 25, 1991 ",33,France,,LB,"1,86"
,Rédah Atassi,Centre-Back,"Mar 16, 1991 ",32,France,Agen,,"1,85"
,Sébastien Fischetti,Centre-Back,"May 11, 1991 ",32,France,Marseille,,"1,73"
5,Pierre Vincent,Centre-Back,"Jan 10, 1991 ",33,France,Rouen,DM   CM,"1,80"
,Johan Martial,Centre-Back,"May 30, 1991 ",32,France,Massy,,"1,84"
,Bastien Allheily,Centre-Back,N/A ,33,France,Wittenheim,,N/A
4,Kévin Simon,Centre-Back,"Dec 4, 1991 ",32,France,Ploemeur,,"1,80"
,Sirina Camara,Centre-Back,"Apr 12, 1991 ",32,France,Paris,LB   LM,"1,78"
,Fabien Boyer,Centre-Back,"Apr 12, 1991 ",32,France,Vienne,LB,"1,87"
,Serkan Cevik,Centre-Back,"Jul 13, 1991 ",32,France,---,,
,Lucas Pouliquen,Centre-Back,"Mar 11, 1991 ",32,France,Saint-Etienne,,"1,80"
,Olivier Vannucci,Centre-Back,"Nov 21, 1991 ",32,France,Ajaccio,DM,"1,87"
,Molla Wagué,Centre-Back,"Feb 21, 1991 ",33,France,Vernon,,"1,91"
,Vincent Le Boulaire,Centre-Back,"Feb 12, 1991 ",33,France,Vannes,,"1,81"
,Morgan Ancian,Centre-Back,"Mar 18, 1991 ",32,France,Bron,,"1,83"
,Jordan Dupray,Centre-Back,"Mar 13, 1991 ",32,France,Le Havre,DM,"1,92"
,Jimmy Kollar,Centre-Back,"Mar 1, 1991 ",33,France,Audincourt,,"1,79"
24,Jonathan Gradit,Centre-Back,"Nov 24, 1992 ",31,France,Talence,RB,"1,80"
26,Koffi Djidji,Centre-Back,"Nov 30, 1992 ",31,France,Bagnolet,,"1,84"
29,Christophe Hérelle,Centre-Back,"Aug 22, 1992 ",31,France,Nice,DM   RB,"1,91"
,Jimmy Giraudon,Centre-Back,"Jan 16, 1992 ",32,France,La Rochelle,DM,"1,84"
3,Loïck Landre,Centre-Back,"May 5, 1992 ",31,France,Aubervilliers,RB,"1,82"
6,Thibaut Peyre,Centre-Back,"Oct 3, 1992 ",31,France,Martigues,RB,"1,84"
14,Samba Camara,Centre-Back,"Nov 14, 1992 ",31,France,Le Havre,LB,"1,90"
92,Mike Cestor,Centre-Back,"Apr 30, 1992 ",31,France,Paris,LB,"1,83"
,Steven Séance,Centre-Back,"Feb 20, 1992 ",32,France,Saint-Denis,,"1,80"
26,Valentin Sanson,Centre-Back,"Sep 26, 1992 ",31,France,Rouen,,"1,89"
92,Lindsay Rose,Centre-Back,"Feb 8, 1992 ",32,France,Rennes,RB,"1,84"
5,Jules Diouf,Centre-Back,"Mar 5, 1992 ",31,France,Neuilly-sur-Seine,,"1,86"
92,Simon Falette,Centre-Back,"Feb 19, 1992 ",32,France,Le Mans,LB,"1,85"
5,Adama Soumaoro,Centre-Back,"Jun 18, 1992 ",31,France,Fontenay-aux-Roses,RB,"1,87"
22,Yoann Salmier,Centre-Back,"Nov 21, 1992 ",31,France,Villiers-le-Bel,,"1,88"
92,Julian Jeanvier,Centre-Back,"Mar 31, 1992 ",31,France,Clichy,,"1,83"
92,Alexandre Coeff,Centre-Back,"Feb 20, 1992 ",32,France,Brest,RB   DM,"1,85"
15,Steven Fortes,Centre-Back,"Apr 17, 1992 ",31,France,Marseille,,"1,92"
6,Anthony Baron,Centre-Back,"Dec 29, 1992 ",31,France,Villepinte,DM   LB,"1,80"
14,Nicolas Saint-Ruf,Centre-Back,"Oct 24, 1992 ",31,France,Paris,,"1,86"
24,Adon Gomis,Centre-Back,"Jul 19, 1992 ",31,France,Évreux,,"1,85"
28,Simon Gbegnon,Centre-Back,"Oct 27, 1992 ",31,France,Nantes,DM,"1,90"
18,Robin Lafarge,Centre-Back,"May 27, 1992 ",31,France,Toulon,RB,"1,87"
38,Metin Karayer,Centre-Back,"May 18, 1992 ",31,France,Sarreguemines,LB,"1,83"
24,Pierrick Cros,Centre-Back,"Mar 17, 1992 ",31,France,Montbrison,DM   LB,"1,85"
,Aleksandar Damcevski,Centre-Back,"Nov 21, 1992 ",31,France,Strasbourg,LB,"1,92"
,Sékouba Kaba,Centre-Back,"Feb 12, 1992 ",32,France,Perpignan,DM,"1,85"
,Guy-Mel Lasme,Centre-Back,"Sep 12, 1992 ",31,France,Toulouse,,"1,87"
,Guira Ben-Aly,Centre-Back,"Jun 12, 1992 ",31,France,Gonesse,DM   CM,"1,90"
,Aurélien Goret,Centre-Back,"Jul 23, 1992 ",31,France,Lille,,"1,87"
,Marc Rafa,Centre-Back,"Aug 14, 1992 ",31,France,Dax,,"1,93"
,Jeremy Bonyaa,Centre-Back,"May 14, 1992 ",31,France,Ris-Orangis,RB,"1,93"
,Aurélien Brillouet,Centre-Back,"Jan 22, 1992 ",32,France,Saintes,DM,"1,87"
,Ludovic Chevrier,Centre-Back,"Oct 27, 1992 ",31,France,Colmar,,
6,Thomas Militão,Centre-Back,"Feb 11, 1992 ",32,France,Paris,RB,"1,84"
5,Pierre Bardy,Centre-Back,"Aug 27, 1992 ",31,France,Rodez,RB,"1,82"
,Chris M'Boungou,Centre-Back,"Mar 13, 1992 ",31,France,Noisy-le-Grand,,
,Nagui Bouras,Centre-Back,"Dec 13, 1992 ",31,France,Roubaix,,"1,78"
57,Gauthier Bernardelli,Centre-Back,"Aug 21, 1992 ",31,France,,DM,"1,79"
,Aurélien Norest,Centre-Back,"Sep 1, 1992 ",31,France,Aubergenville,DM   RB,"1,78"
,Marthorel Diyazaya,Centre-Back,"Mar 31, 1992 ",31,France,Mantes-la-Jolie,,
,Mohamed Diaby,Centre-Back,"Feb 25, 1992 ",32,France,Bordeaux,DM,"1,92"
,Théo Becherel,Centre-Back,"Feb 23, 1992 ",32,France,,,
,Baptiste Caglioni,Centre-Back,"Aug 12, 1992 ",31,France,Saint-Amand-Montrond,,"1,83"
25,Quentin Moutiapoullé,Centre-Back,"Jul 4, 1992 ",31,France,Lisieux,,"1,84"
25,Geoffrey Marie-Louise,Centre-Back,"Jan 16, 1992 ",32,France,Tours,,"1,98"
5,Hugo Boudin,Centre-Back,"Jun 8, 1992 ",31,France,Mayenne,RB,
26,Edouard Daillet,Centre-Back,"Oct 21, 1992 ",31,France,Guéret,RB   DM,"1,80"
,Jordan Gasser,Centre-Back,"Dec 24, 1992 ",31,France,Haguenau,LB,"1,85"
,Kadim Thioune,Centre-Back,"Jul 1, 1992 ",31,France,,,"1,89"
,Sidi Fofana,Centre-Back,"Jan 11, 1992 ",32,France,Boissy-Saint-Léger,LB,"1,85"
,Clément Simothé,Centre-Back,"Nov 30, 1992 ",31,France,Pont-à-Mousson,RB   DM,"1,81"
5,Christopher Luhaka,Centre-Back,"Dec 18, 1992 ",31,France,Paris,DM,"1,92"
,Naguib Chakouri,Centre-Back,"Aug 10, 1992 ",31,France,,RB,"1,80"
5,Zakaria Belkouche,Centre-Back,"Jul 8, 1992 ",31,France,Créteil,,"1,88"
2,Arnaud Farras,Centre-Back,"Jan 27, 1992 ",32,France,Béziers,,"1,86"
28,Josué Albert,Centre-Back,"Jan 21, 1992 ",32,France,Colombes,,"1,87"
,Steven Keller,Centre-Back,"Feb 4, 1992","Feb 4, 1992",France,Straßburg (Bas-Rhin),,"1,82"
,Jérémy Labor,Centre-Back,"Mar 19, 1992 ",31,France,Pontoise,RB,"1,82"
,Ugo Gostisbehere,Centre-Back,"Jun 10, 1992 ",31,France,Biarritz,RB   DM,"1,82"
4,Florent Perradin,Centre-Back,"May 11, 1992 ",31,France,Lyon,RB   DM,"1,79"
,Jeffrey Bugnet,Centre-Back,"Jul 30, 1992 ",31,France,Oullins,,"1,84"
,Ivan Franck Sapouma,Centre-Back,N/A ,31,France,Nancy,,N/A
,Isaac Kitambala,Centre-Back,"Jan 16, 1992 ",32,France,Creil,,"1,87"
,Alexis Dutot,Centre-Back,"Mar 14, 1992 ",31,France,Saint Germain en Laye,RB   CM,"1,83"
,Mohamed Benyahia,Centre-Back,"Jun 30, 1992 ",31,France,Tremblay-en-France,DM   RB,"1,87"
17,Cachito Wanduka,Centre-Back,"Feb 21, 1992 ",32,France,Pierrefitte-sur-Seine,DM,"1,87"
,Hugo Leroux,Centre-Back,"Jan 7, 1992 ",32,France,Aix-en-Provence,,"1,83"
,Ludovic Erhard,Centre-Back,"Mar 17, 1992 ",31,France,Paris,DM   CM,"1,88"
,Charly Burneau,Centre-Back,"Feb 14, 1992 ",32,France,Sables d Olonne,,
,Fabien Balisier,Centre-Back,"May 2, 1992 ",31,France,,RB,"1,78"
,Donatien Cotinet,Centre-Back,"Aug 3, 1992 ",31,France,Paray-le-Monial,DM,
,Rémi Fregier,Centre-Back,"Feb 11, 1992 ",32,France,Marseille,,"1,78"
,Darnel Situ,Centre-Back,"Mar 18, 1992 ",31,France,Rouen,DM,"1,87"
19,Raphaël Varane,Centre-Back,"Apr 25, 1993 ",30,France,Lille,,"1,91"
6,Christopher Jullien,Centre-Back,"Mar 22, 1993 ",30,France,Lagny-sur-Marne,,"1,96"
15,Julien Laporte,Centre-Back,"Nov 4, 1993 ",30,France,Aurillac,,"1,85"
23,Naby Sarr,Centre-Back,"Aug 13, 1993 ",30,France,Marseille,,"1,98"
24,Pierre Lemonnier,Centre-Back,"Jul 6, 1993 ",30,France,Rennes,,"1,83"
12,Yasser Baldé,Centre-Back,"Jan 12, 1993 ",31,France,Brignoles,,"1,90"
22,Formose Mendy,Centre-Back,"Oct 8, 1993 ",30,France,Paris,,"1,85"
67,Vincent Decker,Centre-Back,"Apr 30, 1993 ",30,France,Strasbourg,,"1,86"
,Alexis Davail,Centre-Back,"Mar 2, 1993 ",30,France,Montpellier,,
28,Dan Timité,Centre-Back,"May 29, 1993 ",30,France,Paris,,
6,Moussa Diarra,Centre-Back,"Jul 2, 1993 ",30,France,Stains,DM,"1,80"
,Clément Castelli,Centre-Back,"Jul 26, 1993 ",30,France,Briey,,
,Ambroise Félicitet,Centre-Back,"May 29, 1993 ",30,France,Bobigny,RB,
4,Samuel Gigot,Centre-Back,"Oct 12, 1993 ",30,France,Avignon,,"1,87"
26,Marcel Tisserand,Centre-Back,"Jan 10, 1993 ",31,France,Meaux,RB   LB,"1,90"
5,Yoann Barbet,Centre-Back,"May 10, 1993 ",30,France,Libourne,LB,"1,87"
21,Jordan Lefort,Centre-Back,"Aug 9, 1993 ",30,France,Champigny-sur-Marne,LB   LM,"1,84"
,Denys Bain,Centre-Back,"Jul 2, 1993 ",30,France,Paris,DM,"1,81"
5,Jean-Claude Billong,Centre-Back,"Dec 28, 1993 ",30,France,Mantes-la-Jolie,,"1,92"
4,Oualid El Hasni,Centre-Back,"Aug 9, 1993 ",30,France,Cannes,RB,"1,92"
,Yacouba Marega,Centre-Back,"Sep 22, 1993 ",30,France,Issy-les-Moulineaux,,"1,90"
,Alexander Borja,Centre-Back,"Jan 31, 1993 ",31,France,Rouen,,"1,79"
27,Marvin Assane,Centre-Back,"Jul 30, 1993 ",30,France,Amiens,,"1,83"
,Jordan Souames,Centre-Back,"Oct 1, 1993 ",30,France,Hyères,,"1,88"
,Gnahoa Blazi,Centre-Back,"Feb 13, 1993 ",31,France,Montfermeil,RB   LB,
4,Jordy Kaloukadilandi,Centre-Back,"May 19, 1993 ",30,France,Gonesse,,"1,90"
,Claudio Merville,Centre-Back,"Sep 10, 1993 ",30,France,Orléans,DM   RB,"1,88"
,Raoul Delgado,Centre-Back,"Jul 30, 1993 ",30,France,,DM,"1,94"
17,Diadié Diarra,Centre-Back,"Jan 23, 1993 ",31,France,Paris,,"1,80"
,Laurent Amiens,Centre-Back,"Dec 17, 1993 ",30,France,Saint-Quentin,,"1,82"
,Jean Ambrose,Centre-Back,"Sep 27, 1993 ",30,France,Sucy-en-Brie,RB   DM,"1,93"
,Arif Yağız,Centre-Back,"Dec 10, 1993 ",30,France,Clermont-Ferrand,,
14,Jean-Charles Behlow,Centre-Back,"Apr 22, 1993 ",30,France,Nantes,,"1,85"
,Mickaël Gas,Centre-Back,"Mar 29, 1993 ",30,France,Nîmes,,"1,86"
,Renaud Dreuslin,Centre-Back,"Jan 24, 1993 ",31,France,Rennes,LB,"1,85"
,Jean-Joseph Miserazzi,Centre-Back,"Aug 9, 1993 ",30,France,Ajaccio,,"1,80"
,Moktar Toumi,Centre-Back,"Mar 8, 1993 ",30,France,Marseille,,"1,94"
,Kévin Léoni,Centre-Back,"Jul 14, 1993 ",30,France,Saint-Jean,RB,"1,80"
,Antoine Metzler,Centre-Back,"Jun 19, 1993 ",30,France,Obernai,,
,Jean-Yves Koue Niate,Centre-Back,"Feb 20, 1993 ",31,France,Paris,,
,Arthur Dirand,Centre-Back,"Oct 19, 1993 ",30,France,Lure,,"1,85"
,Alister Bizolon,Centre-Back,"Dec 17, 1993 ",30,France,Saint-Nazaire,,"1,82"
,Emmanuel Troudart,Centre-Back,"Jul 17, 1993 ",30,France,Paris,DM,"1,91"
5,Quentin Lacour,Centre-Back,"Aug 27, 1993 ",30,France,Bourg-en-Bresse,DM,"1,85"
,Demba Sow,Centre-Back,"Jul 3, 1993 ",30,France,Le Havre,RB,"1,89"
,Anthony Walongwa,Centre-Back,"Oct 15, 1993 ",30,France,Nantes,,"1,82"
,Erwan Martin,Centre-Back,"Jan 6, 1993 ",31,France,,,"1,81"
,Michel Lê,Centre-Back,"Feb 12, 1993 ",31,France,Hayange,,"1,85"
,Maxence Derrien,Centre-Back,"Sep 3, 1993 ",30,France,Quimperlé,RB   DM,"1,82"
,Vincent Di Stefano,Centre-Back,"Mar 4, 1993 ",30,France,Voiron,LB,"1,82"
27,Mamadou Kamissoko,Centre-Back,"Apr 15, 1993 ",30,France,Blanc-Mesnil,LB   RB,"1,92"
,Damien Rubal,Centre-Back,"Jul 2, 1993 ",30,France,Mareuil Les Meaux,DM,
,Prince Gouano,Centre-Back,"Dec 24, 1993 ",30,France,Paris,RB,"1,86"
,Christopher Graffin,Centre-Back,"Feb 2, 1993 ",31,France,Chartres,,"1,78"
,Adil Benzariouh,Centre-Back,"Jan 14, 1993 ",31,France,Toulouse,RB,"1,82"
8,Romain Lelevé,Centre-Back,"Sep 28, 1993 ",30,France,Aubergenville,LB,"1,81"
,Jérémy Obin,Centre-Back,"Mar 5, 1993 ",30,France,Lille,DM,"1,88"
,Tony Huston,Centre-Back,"Jan 27, 1993 ",31,France,Aubervilliers,RB,"1,77"
,Baptiste Gainnet,Centre-Back,"Apr 1, 1993 ",30,France,Vesoul,,"1,86"
,Akim Boukerche,Centre-Back,"Oct 26, 1993 ",30,France,Aix en Provence,,"1,80"
,Gaël Vena,Centre-Back,"Feb 2, 1993 ",31,France,Toulouse,,"1,84"
,Arthur Leblanc,Centre-Back,"May 5, 1993 ",30,France,Antibes,DM,"1,81"
5,Mohamed Hamdi,Centre-Back,"May 8, 1993 ",30,France,Hyères,,"1,84"
,Richard Samnick,Centre-Back,"Jan 23, 1993 ",31,France,Noisy-le-Grand,,"1,90"
17,Julien Tadrowski,Centre-Back,"May 17, 1993 ",30,France,Roncq,RB   DM,"1,83"
,Mamaye Tounkara,Centre-Back,"Sep 18, 1993 ",30,France,Clichy,,"1,86"
,Lionel Zouma,Centre-Back,"Sep 10, 1993 ",30,France,Lyon,DM,"1,90"
27,Aymeric Laporte,Centre-Back,"May 27, 1994 ",29,France,Agen,,"1,91"
